# freq_THz  G_total  G_Ga  G_S
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=4; block_duration_ps=16.38400000; df_THz=0.06103516; total_equals_sum_of_partials=True
4.0283203125e+00 1.6678689715e+00 1.1062336216e+00 5.6163534990e-01
4.0893554688e+00 1.7554677742e+00 1.1657331509e+00 5.8973462330e-01
4.1503906250e+00 1.8061725062e+00 1.2005982432e+00 6.0557426298e-01
4.2114257812e+00 1.6849845343e+00 1.1214455924e+00 5.6353894191e-01
4.2724609375e+00 1.5931917675e+00 1.0685347450e+00 5.2465702254e-01
4.3334960938e+00 1.6325776350e+00 1.1064688396e+00 5.2610879539e-01
4.3945312500e+00 1.5442939425e+00 1.0519102273e+00 4.9238371516e-01
4.4555664062e+00 1.5371277862e+00 1.0422202745e+00 4.9490751164e-01
4.5166015625e+00 1.7770738818e+00 1.1876188696e+00 5.8945501226e-01
4.5776367188e+00 1.9182745124e+00 1.2747594565e+00 6.4351505593e-01
4.6386718750e+00 1.7622309896e+00 1.1946931508e+00 5.6753783879e-01
4.6997070312e+00 1.5817261462e+00 1.1038033910e+00 4.7792275516e-01
4.7607421875e+00 1.4928456889e+00 1.0678273059e+00 4.2501838300e-01
4.8217773438e+00 1.4413040901e+00 1.0497091220e+00 3.9159496816e-01
4.8828125000e+00 1.4594566957e+00 1.0689180147e+00 3.9053868103e-01
4.9438476562e+00 1.4988495021e+00 1.0993531356e+00 3.9949636650e-01
5.0048828125e+00 1.5603920711e+00 1.1471224546e+00 4.1326961652e-01
5.0659179688e+00 1.6537424530e+00 1.2068494713e+00 4.4689298163e-01
5.1269531250e+00 1.8275958469e+00 1.3059369098e+00 5.2165893708e-01
5.1879882812e+00 2.0557641045e+00 1.4302906680e+00 6.2547343657e-01
5.2490234375e+00 1.9854895190e+00 1.3739090645e+00 6.1158045451e-01
5.3100585938e+00 1.5681856424e+00 1.1163525175e+00 4.5183312493e-01
5.3710937500e+00 1.2134876551e+00 8.9210446771e-01 3.2138318741e-01
5.4321289062e+00 9.7403929903e-01 7.2770580325e-01 2.4633349578e-01
5.4931640625e+00 7.9932632394e-01 5.9917114859e-01 2.0015517535e-01
5.5541992188e+00 6.3604487799e-01 4.7569355812e-01 1.6035131988e-01
5.6152343750e+00 4.8481524343e-01 3.5857578262e-01 1.2623946080e-01
5.6762695312e+00 4.1247012082e-01 3.0176038324e-01 1.1070973758e-01
5.7373046875e+00 3.5832106275e-01 2.6071026838e-01 9.7610794365e-02
5.7983398438e+00 3.0943134218e-01 2.2394224437e-01 8.5489097806e-02
5.8593750000e+00 2.5427013625e-01 1.8229226205e-01 7.1977874203e-02
5.9204101562e+00 1.8223441551e-01 1.2773293475e-01 5.4501480757e-02
5.9814453125e+00 1.3823648534e-01 9.4100810206e-02 4.4135675130e-02
6.0424804688e+00 1.1709223142e-01 7.8066396010e-02 3.9025835411e-02
6.1035156250e+00 1.0336748167e-01 6.7256085383e-02 3.6111396288e-02
6.1645507812e+00 9.1504244767e-02 5.7623472970e-02 3.3880771797e-02
6.2255859375e+00 8.3194839580e-02 5.1274151795e-02 3.1920687785e-02
6.2866210938e+00 7.7569334098e-02 4.6392873178e-02 3.1176460920e-02
6.3476562500e+00 7.4005029608e-02 4.3014498111e-02 3.0990531496e-02
6.4086914062e+00 7.1275102925e-02 4.0441624900e-02 3.0833478025e-02
6.4697265625e+00 6.8033942287e-02 3.7544321921e-02 3.0489620366e-02
6.5307617188e+00 6.5411040300e-02 3.5012085582e-02 3.0398954718e-02
6.5917968750e+00 6.3447894435e-02 3.2867480840e-02 3.0580413595e-02
6.6528320312e+00 6.2490953361e-02 3.1678902773e-02 3.0812050589e-02
6.7138671875e+00 6.1581716972e-02 3.0367950777e-02 3.1213766195e-02
6.7749023438e+00 6.1516467691e-02 2.9497532709e-02 3.2018934983e-02
6.8359375000e+00 6.2247977013e-02 2.8870834163e-02 3.3377142850e-02
6.8969726562e+00 6.2285051509e-02 2.8161935743e-02 3.4123115766e-02
6.9580078125e+00 6.1931782512e-02 2.7154647060e-02 3.4777135452e-02
7.0190429688e+00 6.3826256871e-02 2.7214560283e-02 3.6611696588e-02
7.0800781250e+00 6.5487232209e-02 2.7203275209e-02 3.8283957000e-02
7.1411132812e+00 6.7528168019e-02 2.7285583066e-02 4.0242584953e-02
7.2021484375e+00 7.0167524772e-02 2.7597595826e-02 4.2569928946e-02
7.2631835938e+00 7.2287905529e-02 2.7838592410e-02 4.4449313119e-02
7.3242187500e+00 7.6577135191e-02 2.8664260892e-02 4.7912874299e-02
7.3852539062e+00 8.2162595641e-02 2.9857059570e-02 5.2305536071e-02
7.4462890625e+00 8.8196426528e-02 3.1397215683e-02 5.6799210845e-02
7.5073242188e+00 9.3404424837e-02 3.2404482787e-02 6.0999942050e-02
7.5683593750e+00 9.8064179239e-02 3.3501953234e-02 6.4562226005e-02
7.6293945312e+00 1.0588533515e-01 3.5861004293e-02 7.0024330858e-02
7.6904296875e+00 1.1381883680e-01 3.8168943603e-02 7.5649893200e-02
7.7514648438e+00 1.2401124653e-01 4.0916361710e-02 8.3094884818e-02
7.8125000000e+00 1.3748571762e-01 4.5260637812e-02 9.2225079803e-02
7.8735351562e+00 1.5275136320e-01 5.0305110741e-02 1.0244625246e-01
7.9345703125e+00 1.7118823514e-01 5.6547137096e-02 1.1464109805e-01
7.9956054688e+00 1.9905065380e-01 6.6271199775e-02 1.3277945402e-01
8.0566406250e+00 2.3263015773e-01 7.8286170287e-02 1.5434398745e-01
8.1176757812e+00 2.7930238718e-01 9.4567493727e-02 1.8473489346e-01
8.1787109375e+00 3.4429517831e-01 1.1825250408e-01 2.2604267422e-01
8.2397460938e+00 4.3406616254e-01 1.5192766219e-01 2.8213850035e-01
