# freq_THz  G_total_s  G_Ga_s  G_S_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.1; mass_weighted=True; primitive_atoms=4; total_equals_sum_of_partials=True
4.6386718750e+00 1.6959766932e+00 1.1599809810e+00 5.3599571218e-01
4.6997070312e+00 1.6250004674e+00 1.1301345711e+00 4.9486589627e-01
4.7607421875e+00 1.5526858963e+00 1.1001770236e+00 4.5250887271e-01
4.8217773438e+00 1.5091329893e+00 1.0863266206e+00 4.2280636867e-01
4.8828125000e+00 1.5050809347e+00 1.0941830502e+00 4.1089788450e-01
4.9438476562e+00 1.5394728850e+00 1.1228679784e+00 4.1660490655e-01
5.0048828125e+00 1.6080385490e+00 1.1692065473e+00 4.3883200169e-01
5.0659179688e+00 1.6999661462e+00 1.2255531699e+00 4.7441297631e-01
5.1269531250e+00 1.7841607783e+00 1.2725462295e+00 5.1161454875e-01
5.1879882812e+00 1.8069558977e+00 1.2785985355e+00 5.2835736224e-01
5.2490234375e+00 1.7223083917e+00 1.2174519900e+00 5.0485640168e-01
5.3100585938e+00 1.5323277045e+00 1.0910584608e+00 4.4126924366e-01
5.3710937500e+00 1.2881246146e+00 9.2958052647e-01 3.5854408812e-01
5.4321289062e+00 1.0477742682e+00 7.6723577197e-01 2.8053849620e-01
5.4931640625e+00 8.4191168942e-01 6.2295484769e-01 2.1895684173e-01
5.5541992188e+00 6.7556610264e-01 5.0171013225e-01 1.7385597039e-01
5.6152343750e+00 5.4526974327e-01 4.0392881293e-01 1.4134093034e-01
5.6762695312e+00 4.4621695885e-01 3.2844562184e-01 1.1777133701e-01
5.7373046875e+00 3.7050619603e-01 2.7056002020e-01 9.9946175829e-02
5.7983398438e+00 3.0811075796e-01 2.2303473105e-01 8.5076026909e-02
5.8593750000e+00 2.5211518440e-01 1.8053855255e-01 7.1576631844e-02
5.9204101562e+00 2.0186826649e-01 1.4241361080e-01 5.9454655697e-02
5.9814453125e+00 1.6057840745e-01 1.1100282340e-01 4.9575584055e-02
6.0424804688e+00 1.3033267992e-01 8.7865288111e-02 4.2467391813e-02
6.1035156250e+00 1.0986617163e-01 7.2050065359e-02 3.7816106272e-02
6.1645507812e+00 9.6183562468e-02 6.1307905792e-02 3.4875656676e-02
6.2255859375e+00 8.6762126828e-02 5.3741086684e-02 3.3021040144e-02
6.2866210938e+00 8.0107783112e-02 4.8219734744e-02 3.1888048367e-02
6.3476562500e+00 7.5294577784e-02 4.4054657180e-02 3.1239920604e-02
6.4086914062e+00 7.1632274473e-02 4.0747330544e-02 3.0884943929e-02
6.4697265625e+00 6.8675679836e-02 3.7971587428e-02 3.0704092409e-02
6.5307617188e+00 6.6262811343e-02 3.5596320348e-02 3.0666490995e-02
6.5917968750e+00 6.4402918907e-02 3.3613412645e-02 3.0789506262e-02
6.6528320312e+00 6.3120349631e-02 3.2019020630e-02 3.1101329000e-02
6.7138671875e+00 6.2384984873e-02 3.0760143434e-02 3.1624841439e-02
6.7749023438e+00 6.2108381955e-02 2.9755304970e-02 3.2353076984e-02
6.8359375000e+00 6.2172314661e-02 2.8930761640e-02 3.3241553021e-02
6.8969726562e+00 6.2518403413e-02 2.8255154587e-02 3.4263248826e-02
6.9580078125e+00 6.3214345777e-02 2.7753971948e-02 3.5460373828e-02
7.0190429688e+00 6.4368692523e-02 2.7466936989e-02 3.6901755534e-02
7.0800781250e+00 6.6007965949e-02 2.7394507190e-02 3.8613458760e-02
7.1411132812e+00 6.8104777602e-02 2.7510001691e-02 4.0594775911e-02
7.2021484375e+00 7.0701836418e-02 2.7810047125e-02 4.2891789293e-02
7.2631835938e+00 7.3951710238e-02 2.8329769908e-02 4.5621940330e-02
7.3242187500e+00 7.7990484227e-02 2.9103994048e-02 4.8886490179e-02
7.3852539062e+00 8.2765825238e-02 3.0117775387e-02 5.2648049851e-02
7.4462890625e+00 8.8069138740e-02 3.1318859878e-02 5.6750278862e-02
7.5073242188e+00 9.3801658935e-02 3.2700282589e-02 6.1101376345e-02
7.5683593750e+00 1.0017136428e-01 3.4350949605e-02 6.5820414679e-02
7.6293945312e+00 1.0761193918e-01 3.6412971768e-02 7.1198967413e-02
7.6904296875e+00 1.1660800633e-01 3.9038104843e-02 7.7569901492e-02
7.7514648438e+00 1.2765806247e-01 4.2412436348e-02 8.5245626127e-02
7.8125000000e+00 1.4137796529e-01 4.6795435850e-02 9.4582529445e-02
7.8735351562e+00 1.5870571130e-01 5.2558298410e-02 1.0614741289e-01
7.9345703125e+00 1.8112010599e-01 6.0244498011e-02 1.2087560798e-01
7.9956054688e+00 2.1078870126e-01 7.0642502951e-02 1.4014619830e-01
8.0566406250e+00 2.5086549100e-01 8.4937742745e-02 1.6592774826e-01
8.1176757812e+00 3.0625093439e-01 1.0504223942e-01 2.0120869497e-01
8.1787109375e+00 3.8502308460e-01 1.3416010764e-01 2.5086297696e-01
8.2397460938e+00 5.0077786622e-01 1.7771761799e-01 3.2306024823e-01
8.3007812500e+00 6.7503412631e-01 2.4440675893e-01 4.3062736738e-01
8.3618164062e+00 9.3545255369e-01 3.4561678117e-01 5.8983577253e-01
8.4228515625e+00 1.3020815489e+00 4.8998291161e-01 8.1209863732e-01
8.4838867188e+00 1.7588203569e+00 6.7186327439e-01 1.0869570825e+00
8.5449218750e+00 2.2293932672e+00 8.6165953760e-01 1.3677337296e+00
8.6059570312e+00 2.5960811836e+00 1.0134275297e+00 1.5826536539e+00
8.6669921875e+00 2.7672983092e+00 1.0916814127e+00 1.6756168966e+00
8.7280273438e+00 2.7332563972e+00 1.0923902800e+00 1.6408661172e+00
8.7890625000e+00 2.5511310576e+00 1.0355144243e+00 1.5156166333e+00
8.8500976562e+00 2.2873753208e+00 9.4236939722e-01 1.3450059236e+00
8.9111328125e+00 1.9855803486e+00 8.2585706010e-01 1.1597232885e+00
8.9721679688e+00 1.6733642120e+00 6.9620964089e-01 9.7715457110e-01
9.0332031250e+00 1.3747390153e+00 5.6603652512e-01 8.0870249021e-01
9.0942382812e+00 1.1099593900e+00 4.4806200669e-01 6.6189738330e-01
9.1552734375e+00 8.8981983357e-01 3.5041769923e-01 5.3940213434e-01
9.2163085938e+00 7.1404267215e-01 2.7457559429e-01 4.3946707787e-01
9.2773437500e+00 5.7596719799e-01 2.1726515709e-01 3.5870204089e-01
9.3383789062e+00 4.6852287028e-01 1.7400325460e-01 2.9451961568e-01
9.3994140625e+00 3.8663216946e-01 1.4124595697e-01 2.4538621249e-01
9.4604492188e+00 3.2671451091e-01 1.1669919095e-01 2.1001531996e-01
9.5214843750e+00 2.8570101526e-01 9.8805557769e-02 1.8689545749e-01
9.5825195312e+00 2.6053434355e-01 8.6221761795e-02 1.7431258175e-01
9.6435546875e+00 2.4850854991e-01 7.7713498881e-02 1.7079505103e-01
9.7045898438e+00 2.4837674753e-01 7.2419681666e-02 1.7595706586e-01
9.7656250000e+00 2.6143228189e-01 7.0093193462e-02 1.9133908843e-01
9.8266601562e+00 2.9135868377e-01 7.1029737476e-02 2.2032894629e-01
9.8876953125e+00 3.4205445815e-01 7.5699117879e-02 2.6635534027e-01
9.9487304688e+00 4.1401295058e-01 8.4250789638e-02 3.2976216094e-01
1.0009765625e+01 5.0171859070e-01 9.6149524832e-02 4.0556906587e-01
1.0070800781e+01 5.9510296672e-01 1.1026030132e-01 4.8484266540e-01
1.0131835938e+01 6.8495848036e-01 1.2541922237e-01 5.5953925799e-01
1.0192871094e+01 7.6747199369e-01 1.4098229082e-01 6.2648970287e-01
1.0253906250e+01 8.4396496125e-01 1.5687410806e-01 6.8709085319e-01
1.0314941406e+01 9.1792627351e-01 1.7332070741e-01 7.4460556610e-01
1.0375976562e+01 9.9272047200e-01 1.9062553295e-01 8.0209493905e-01
1.0437011719e+01 1.0708488738e+00 2.0912306902e-01 8.6172580477e-01
1.0498046875e+01 1.1552203590e+00 2.2945973022e-01 9.2576062875e-01
1.0559082031e+01 1.2508490703e+00 2.5300739844e-01 9.9784167187e-01
1.0620117188e+01 1.3642796232e+00 2.8178220548e-01 1.0824974177e+00
1.0681152344e+01 1.5021571029e+00 3.1768623169e-01 1.1844708712e+00
1.0742187500e+01 1.6707911420e+00 3.6161560882e-01 1.3091755332e+00
1.0803222656e+01 1.8727161638e+00 4.1280545316e-01 1.4599107106e+00
1.0864257812e+01 2.0963811458e+00 4.6812599300e-01 1.6282551528e+00
1.0925292969e+01 2.3085989764e+00 5.2196462141e-01 1.7866343550e+00
1.0986328125e+01 2.4699339380e+00 5.6908422258e-01 1.9008497154e+00
1.1047363281e+01 2.5699331799e+00 6.0979996061e-01 1.9601332193e+00
1.1108398438e+01 2.6403033623e+00 6.5061674672e-01 1.9896866156e+00
1.1169433594e+01 2.7196945037e+00 6.9649833838e-01 2.0231961653e+00
1.1230468750e+01 2.8073413255e+00 7.4254219092e-01 2.0647991346e+00
1.1291503906e+01 2.8596987295e+00 7.7533579034e-01 2.0843629392e+00
1.1352539062e+01 2.8310885999e+00 7.8313624875e-01 2.0479523511e+00
1.1413574219e+01 2.7129270206e+00 7.6461065195e-01 1.9483163687e+00
1.1474609375e+01 2.5367466185e+00 7.2872435931e-01 1.8080222592e+00
1.1535644531e+01 2.3468269206e+00 6.8748369729e-01 1.6593432233e+00
1.1596679688e+01 2.1705512370e+00 6.4815779500e-01 1.5223934420e+00
1.1657714844e+01 2.0071930090e+00 6.1016893531e-01 1.3970240737e+00
1.1718750000e+01 1.8380951881e+00 5.6790210187e-01 1.2701930863e+00
1.1779785156e+01 1.6482247382e+00 5.1703327818e-01 1.1311914600e+00
1.1840820312e+01 1.4426503753e+00 4.5949987796e-01 9.8315049733e-01
1.1901855469e+01 1.2439632101e+00 4.0263305269e-01 8.4133015746e-01
1.1962890625e+01 1.0725378506e+00 3.5290510987e-01 7.1963274069e-01
1.2023925781e+01 9.2931121168e-01 3.1045493994e-01 6.1885627175e-01
1.2084960938e+01 7.9796981004e-01 2.6984431163e-01 5.2812549842e-01
1.2145996094e+01 6.6236895741e-01 2.2585975974e-01 4.3650919766e-01
1.2207031250e+01 5.2144988391e-01 1.7858665671e-01 3.4286322720e-01
1.2268066406e+01 3.8903943806e-01 1.3334271722e-01 2.5569672084e-01
1.2329101562e+01 2.8121541599e-01 9.6206206897e-02 1.8500920910e-01
1.2390136719e+01 2.0466205978e-01 6.9830501109e-02 1.3483155867e-01
1.2451171875e+01 1.5530301098e-01 5.2925602010e-02 1.0237740897e-01
1.2512207031e+01 1.2440978035e-01 4.2456471526e-02 8.1953308819e-02
1.2573242188e+01 1.0434104415e-01 3.5736445511e-02 6.8604598641e-02
1.2634277344e+01 9.0373188692e-02 3.1111529593e-02 5.9261659099e-02
1.2695312500e+01 8.0009776391e-02 2.7717315686e-02 5.2292460705e-02
1.2756347656e+01 7.1934348088e-02 2.5098340985e-02 4.6836007103e-02
1.2817382812e+01 6.5417674672e-02 2.2997214135e-02 4.2420460537e-02
1.2878417969e+01 6.0051465774e-02 2.1268240809e-02 3.8783224965e-02
1.2939453125e+01 5.5575086843e-02 1.9823910620e-02 3.5751176224e-02
1.3000488281e+01 5.1765793895e-02 1.8595817670e-02 3.3169976225e-02
1.3061523438e+01 4.8428447339e-02 1.7522977848e-02 3.0905469491e-02
1.3122558594e+01 4.5437162855e-02 1.6561206826e-02 2.8875956029e-02
1.3183593750e+01 4.2748976083e-02 1.5691718027e-02 2.7057258056e-02
1.3244628906e+01 4.0360260285e-02 1.4913699551e-02 2.5446560734e-02
1.3305664062e+01 3.8247902217e-02 1.4226237733e-02 2.4021664484e-02
1.3366699219e+01 3.6355555609e-02 1.3616011590e-02 2.2739544019e-02
1.3427734375e+01 3.4625626099e-02 1.3060312924e-02 2.1565313175e-02
1.3488769531e+01 3.3032703512e-02 1.2542758345e-02 2.0489945168e-02
1.3549804688e+01 3.1584492678e-02 1.2064226758e-02 1.9520265920e-02
1.3610839844e+01 3.0290573215e-02 1.1633276536e-02 1.8657296680e-02
1.3671875000e+01 2.9135214050e-02 1.1249062617e-02 1.7886151432e-02
1.3732910156e+01 2.8085240788e-02 1.0900758095e-02 1.7184482693e-02
1.3793945312e+01 2.7116578952e-02 1.0580665131e-02 1.6535913821e-02
1.3854980469e+01 2.6219216534e-02 1.0288341812e-02 1.5930874722e-02
1.3916015625e+01 2.5376688655e-02 1.0019146623e-02 1.5357542032e-02
1.3977050781e+01 2.4556773716e-02 9.7571005586e-03 1.4799673158e-02
1.4038085938e+01 2.3730380017e-02 9.4867140443e-03 1.4243665973e-02
1.4099121094e+01 2.2895824530e-02 9.2085624988e-03 1.3687262031e-02
1.4160156250e+01 2.2082167643e-02 8.9379013515e-03 1.3144266291e-02
1.4221191406e+01 2.1326437786e-02 8.6894273865e-03 1.2637010400e-02
1.4282226562e+01 2.0646945324e-02 8.4671403379e-03 1.2179804986e-02
1.4343261719e+01 2.0040452701e-02 8.2675727761e-03 1.1772879925e-02
1.4404296875e+01 1.9495514798e-02 8.0855045497e-03 1.1410010248e-02
1.4465332031e+01 1.8996745321e-02 7.9138071673e-03 1.1082938154e-02
1.4526367188e+01 1.8526453814e-02 7.7449944395e-03 1.0781459375e-02
1.4587402344e+01 1.8077328781e-02 7.5782065634e-03 1.0499122218e-02
1.4648437500e+01 1.7658410941e-02 7.4210864779e-03 1.0237324463e-02
1.4709472656e+01 1.7282120435e-02 7.2815747491e-03 1.0000545686e-02
1.4770507812e+01 1.6951702187e-02 7.1598410629e-03 9.7918611236e-03
1.4831542969e+01 1.6662055106e-02 7.0497379138e-03 9.6123171926e-03
1.4892578125e+01 1.6404839733e-02 6.9457754289e-03 9.4590643039e-03
1.4953613281e+01 1.6171516721e-02 6.8461911916e-03 9.3253255298e-03
1.5014648438e+01 1.5953532798e-02 6.7501431745e-03 9.2033896239e-03
1.5075683594e+01 1.5739213050e-02 6.6551585129e-03 9.0840545367e-03
1.5136718750e+01 1.5514372384e-02 6.5586807407e-03 8.9556916431e-03
1.5197753906e+01 1.5269498957e-02 6.4592873179e-03 8.8102116386e-03
1.5258789062e+01 1.5004127637e-02 6.3553007528e-03 8.6488268845e-03
1.5319824219e+01 1.4723542999e-02 6.2460120962e-03 8.4775309026e-03
