# freq_THz  G_total  G_Ga  G_Se
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=4; block_duration_ps=16.38400000; df_THz=0.06103516; total_equals_sum_of_partials=True
4.0283203125e+00 5.2075791864e-01 2.4575973391e-01 2.7499818472e-01
4.0893554688e+00 4.8423403577e-01 2.3520695107e-01 2.4902708471e-01
4.1503906250e+00 5.0098908202e-01 2.4864750267e-01 2.5234157935e-01
4.2114257812e+00 5.3534816651e-01 2.7217224466e-01 2.6317592186e-01
4.2724609375e+00 5.7551042323e-01 2.9539606941e-01 2.8011435382e-01
4.3334960938e+00 6.4125555729e-01 3.3086418769e-01 3.1039136960e-01
4.3945312500e+00 7.0085929211e-01 3.5753754612e-01 3.4332174598e-01
4.4555664062e+00 7.4661820244e-01 3.7253118450e-01 3.7408701794e-01
4.5166015625e+00 7.7571669577e-01 3.7619610502e-01 3.9952059075e-01
4.5776367188e+00 7.5887049559e-01 3.5727131938e-01 4.0159917621e-01
4.6386718750e+00 7.0230060436e-01 3.2120612276e-01 3.8109448161e-01
4.6997070312e+00 6.1794556599e-01 2.7575732511e-01 3.4218824088e-01
4.7607421875e+00 5.2918660111e-01 2.2904995026e-01 3.0013665085e-01
4.8217773438e+00 4.6421040325e-01 1.9493129270e-01 2.6927911056e-01
4.8828125000e+00 3.9727440911e-01 1.6281095911e-01 2.3446345000e-01
4.9438476562e+00 3.2648799498e-01 1.2895756654e-01 1.9753042844e-01
5.0048828125e+00 2.5757408150e-01 9.6806813229e-02 1.6076726828e-01
5.0659179688e+00 1.9898333702e-01 7.1307425770e-02 1.2767591125e-01
5.1269531250e+00 1.6093681569e-01 5.6227309275e-02 1.0470950641e-01
5.1879882812e+00 1.4166873449e-01 4.9596372979e-02 9.2072361510e-02
5.2490234375e+00 1.3066498462e-01 4.6684516762e-02 8.3980467858e-02
5.3100585938e+00 1.2541258048e-01 4.6538587609e-02 7.8873992869e-02
5.3710937500e+00 1.2535964700e-01 4.8899485060e-02 7.6460161941e-02
5.4321289062e+00 1.3162157178e-01 5.3510611420e-02 7.8110960361e-02
5.4931640625e+00 1.4046815614e-01 5.9809966089e-02 8.0658190048e-02
5.5541992188e+00 1.5200890492e-01 6.7669365540e-02 8.4339539378e-02
5.6152343750e+00 1.6714017936e-01 7.7550738079e-02 8.9589441277e-02
5.6762695312e+00 1.9114324845e-01 9.1977557322e-02 9.9165691127e-02
5.7373046875e+00 2.2031767035e-01 1.0981320369e-01 1.1050446667e-01
5.7983398438e+00 2.6868525083e-01 1.3817643188e-01 1.3050881894e-01
5.8593750000e+00 3.4191916598e-01 1.7920175557e-01 1.6271741041e-01
5.9204101562e+00 4.8409883571e-01 2.5850251352e-01 2.2559632219e-01
5.9814453125e+00 8.2233831525e-01 4.4565098748e-01 3.7668732777e-01
6.0424804688e+00 1.6657001600e+00 9.1044098939e-01 7.5525917064e-01
6.1035156250e+00 2.4926557109e+00 1.3681708489e+00 1.1244848620e+00
6.1645507812e+00 2.5255705783e+00 1.3913058690e+00 1.1342647094e+00
6.2255859375e+00 2.4265909526e+00 1.3484296064e+00 1.0781613463e+00
6.2866210938e+00 2.4535930457e+00 1.3797535464e+00 1.0738394993e+00
6.3476562500e+00 2.4957965914e+00 1.4366057490e+00 1.0591908424e+00
6.4086914062e+00 2.5764527033e+00 1.5386226929e+00 1.0378300104e+00
6.4697265625e+00 2.9404461973e+00 1.8418247682e+00 1.0986214290e+00
6.5307617188e+00 2.9194775527e+00 1.8725633429e+00 1.0469142098e+00
6.5917968750e+00 2.2417289387e+00 1.4263684248e+00 8.1536051395e-01
6.6528320312e+00 1.8016034075e+00 1.1295685243e+00 6.7203488318e-01
6.7138671875e+00 1.5337739142e+00 9.5057196025e-01 5.8320195391e-01
6.7749023438e+00 1.3746573799e+00 8.4363544530e-01 5.3102193463e-01
6.8359375000e+00 1.2223489398e+00 7.4046401617e-01 4.8188492366e-01
6.8969726562e+00 1.0771073405e+00 6.4361104682e-01 4.3349629370e-01
6.9580078125e+00 1.0178226835e+00 6.0243484916e-01 4.1538783431e-01
7.0190429688e+00 1.0116406490e+00 6.0184736920e-01 4.0979327976e-01
7.0800781250e+00 1.1380567902e+00 7.0544320912e-01 4.3261358104e-01
7.1411132812e+00 1.4966331704e+00 9.8522074098e-01 5.1141242941e-01
7.2021484375e+00 1.7433088529e+00 1.1645775904e+00 5.7873126244e-01
7.2631835938e+00 1.6822862476e+00 1.0903799254e+00 5.9190632218e-01
7.3242187500e+00 1.6017431243e+00 9.9385828588e-01 6.0788483840e-01
7.3852539062e+00 1.6380408860e+00 9.7650815354e-01 6.6153273248e-01
7.4462890625e+00 1.7620199655e+00 1.0155510943e+00 7.4646887125e-01
7.5073242188e+00 1.9532473391e+00 1.0989879550e+00 8.5425938412e-01
7.5683593750e+00 2.1563327182e+00 1.1942128270e+00 9.6211989122e-01
7.6293945312e+00 2.2632274438e+00 1.2441062981e+00 1.0191211457e+00
7.6904296875e+00 2.2227298481e+00 1.2201641969e+00 1.0025656512e+00
7.7514648438e+00 2.1514940142e+00 1.1822534897e+00 9.6924052449e-01
7.8125000000e+00 2.0783792299e+00 1.1445090815e+00 9.3387014844e-01
7.8735351562e+00 2.0035237750e+00 1.1076094395e+00 8.9591433548e-01
7.9345703125e+00 1.9889558088e+00 1.1065906311e+00 8.8236517771e-01
7.9956054688e+00 1.9636010206e+00 1.0981698840e+00 8.6543113662e-01
8.0566406250e+00 1.9518767304e+00 1.1012187766e+00 8.5065795376e-01
8.1176757812e+00 2.0198304801e+00 1.1516915669e+00 8.6813891319e-01
8.1787109375e+00 2.1353662418e+00 1.2293348092e+00 9.0603143258e-01
8.2397460938e+00 2.1858011429e+00 1.2686201769e+00 9.1718096601e-01
8.3007812500e+00 2.1588922538e+00 1.2619536176e+00 8.9693863619e-01
8.3618164062e+00 2.1027504388e+00 1.2346456957e+00 8.6810474316e-01
8.4228515625e+00 1.9610351290e+00 1.1554642288e+00 8.0557090028e-01
8.4838867188e+00 1.7823911714e+00 1.0519870441e+00 7.3040412733e-01
8.5449218750e+00 1.6109584956e+00 9.5159645771e-01 6.5936203791e-01
8.6059570312e+00 1.4687130895e+00 8.6762073570e-01 6.0109235384e-01
8.6669921875e+00 1.3430455869e+00 7.9367563029e-01 5.4936995661e-01
8.7280273438e+00 1.1831454593e+00 6.9856672021e-01 4.8457873909e-01
8.7890625000e+00 1.0227025673e+00 6.0303348802e-01 4.1966907927e-01
8.8500976562e+00 8.7532640934e-01 5.1557193830e-01 3.5975447104e-01
8.9111328125e+00 7.3437701222e-01 4.3167378293e-01 3.0270322929e-01
8.9721679688e+00 6.1898898717e-01 3.6290010647e-01 2.5608888070e-01
9.0332031250e+00 5.2589980104e-01 3.0780605585e-01 2.1809374519e-01
9.0942382812e+00 4.4803759160e-01 2.6177205385e-01 1.8626553775e-01
9.1552734375e+00 3.8499681581e-01 2.2453964351e-01 1.6045717231e-01
9.2163085938e+00 3.3309371511e-01 1.9394776358e-01 1.3914595153e-01
9.2773437500e+00 2.8936837384e-01 1.6819971486e-01 1.2116865898e-01
9.3383789062e+00 2.5515580472e-01 1.4807241962e-01 1.0708338510e-01
9.3994140625e+00 2.2658065890e-01 1.3128349034e-01 9.5297168559e-02
9.4604492188e+00 2.0333463648e-01 1.1764362794e-01 8.5691008540e-02
9.5214843750e+00 1.8448858371e-01 1.0649112546e-01 7.7997458249e-02
9.5825195312e+00 1.6556811805e-01 9.5423739809e-02 7.0144378242e-02
9.6435546875e+00 1.4983502395e-01 8.6164980040e-02 6.3670043909e-02
9.7045898438e+00 1.3701869815e-01 7.8572207697e-02 5.8446490457e-02
9.7656250000e+00 1.2658434962e-01 7.2548669400e-02 5.4035680223e-02
9.8266601562e+00 1.1691611399e-01 6.6867411414e-02 5.0048702579e-02
9.8876953125e+00 1.0808260798e-01 6.1741155908e-02 4.6341452073e-02
9.9487304688e+00 9.9894809395e-02 5.7021814947e-02 4.2872994448e-02
1.0009765625e+01 9.3585882355e-02 5.3447688762e-02 4.0138193593e-02
1.0070800781e+01 8.7272454541e-02 4.9858871819e-02 3.7413582722e-02
1.0131835938e+01 8.1363288310e-02 4.6496612247e-02 3.4866676063e-02
1.0192871094e+01 7.6095971820e-02 4.3508405910e-02 3.2587565911e-02
1.0253906250e+01 7.0820874701e-02 4.0459636581e-02 3.0361238120e-02
1.0314941406e+01 6.6816961111e-02 3.8231748542e-02 2.8585212570e-02
1.0375976562e+01 6.3103328849e-02 3.6164925424e-02 2.6938403425e-02
1.0437011719e+01 5.9551656421e-02 3.4067960493e-02 2.5483695928e-02
1.0498046875e+01 5.5948658621e-02 3.2058023257e-02 2.3890635363e-02
1.0559082031e+01 5.2537309608e-02 3.0224064858e-02 2.2313244751e-02
1.0620117188e+01 4.9019377294e-02 2.8266941790e-02 2.0752435504e-02
1.0681152344e+01 4.6465403989e-02 2.6932591154e-02 1.9532812835e-02
1.0742187500e+01 4.4103678590e-02 2.5725145591e-02 1.8378532998e-02
1.0803222656e+01 4.1986362484e-02 2.4555880391e-02 1.7430482093e-02
1.0864257812e+01 3.9853634862e-02 2.3463345727e-02 1.6390289135e-02
1.0925292969e+01 3.7859758882e-02 2.2457028473e-02 1.5402730410e-02
1.0986328125e+01 3.6566625606e-02 2.1868169218e-02 1.4698456388e-02
1.1047363281e+01 3.4729112350e-02 2.0959288943e-02 1.3769823407e-02
1.1108398438e+01 3.3293254932e-02 2.0182738945e-02 1.3110515988e-02
1.1169433594e+01 3.1828776030e-02 1.9398664564e-02 1.2430111466e-02
1.1230468750e+01 3.0213663420e-02 1.8567402263e-02 1.1646261157e-02
1.1291503906e+01 2.8591203750e-02 1.7632760109e-02 1.0958443641e-02
1.1352539062e+01 2.7050710760e-02 1.6670780360e-02 1.0379930400e-02
1.1413574219e+01 2.5954917605e-02 1.6056067442e-02 9.8988501627e-03
1.1474609375e+01 2.4658944560e-02 1.5292925514e-02 9.3660190454e-03
1.1535644531e+01 2.3099375505e-02 1.4306180255e-02 8.7931952501e-03
1.1596679688e+01 2.1527037762e-02 1.3302022123e-02 8.2250156389e-03
1.1657714844e+01 2.0156596750e-02 1.2465909404e-02 7.6906873456e-03
1.1718750000e+01 1.9198842020e-02 1.1840401546e-02 7.3584404737e-03
1.1779785156e+01 1.8176717321e-02 1.1174277912e-02 7.0024394096e-03
1.1840820312e+01 1.7270836360e-02 1.0605137491e-02 6.6656988690e-03
1.1901855469e+01 1.6533007262e-02 1.0123278048e-02 6.4097292142e-03
