# freq_THz  G_total_s  G_Ga_s  G_Se_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.1; mass_weighted=True; primitive_atoms=4; total_equals_sum_of_partials=True
4.6386718750e+00 6.7161519473e-01 3.0970930665e-01 3.6190588808e-01
4.6997070312e+00 6.1016755411e-01 2.7422905378e-01 3.3593850033e-01
4.7607421875e+00 5.3956333530e-01 2.3610140223e-01 3.0346193307e-01
4.8217773438e+00 4.6765275722e-01 1.9900060535e-01 2.6865215187e-01
4.8828125000e+00 3.9790383156e-01 1.6439004442e-01 2.3351378714e-01
4.9438476562e+00 3.3168209360e-01 1.3269911211e-01 1.9898298149e-01
5.0048828125e+00 2.7129894499e-01 1.0482209453e-01 1.6647685045e-01
5.0659179688e+00 2.2033626038e-01 8.2243712921e-02 1.3809254746e-01
5.1269531250e+00 1.8162951146e-01 6.6020640216e-02 1.1560887124e-01
5.1879882812e+00 1.5554282765e-01 5.6014375424e-02 9.9528452229e-02
5.2490234375e+00 1.4021787004e-01 5.1125196971e-02 8.9092673067e-02
5.3100585938e+00 1.3314697871e-01 5.0068697701e-02 8.3078281005e-02
5.3710937500e+00 1.3236074069e-01 5.1899984382e-02 8.0460756306e-02
5.4321289062e+00 1.3661446726e-01 5.6087692544e-02 8.0526774711e-02
5.4931640625e+00 1.4527180001e-01 6.2454037337e-02 8.2817762672e-02
5.5541992188e+00 1.5847976705e-01 7.1225350469e-02 8.7254416582e-02
5.6152343750e+00 1.7757960384e-01 8.3218754022e-02 9.4360849823e-02
5.6762695312e+00 2.0594264255e-01 1.0030925528e-01 1.0563338727e-01
5.7373046875e+00 2.5141116553e-01 1.2678064778e-01 1.2463051776e-01
5.7983398438e+00 3.3173522717e-01 1.7233432442e-01 1.5940090276e-01
5.8593750000e+00 4.8060229189e-01 2.5548146293e-01 2.2512082896e-01
5.9204101562e+00 7.4108125517e-01 4.0003047533e-01 3.4105077984e-01
5.9814453125e+00 1.1298172068e+00 6.1547022554e-01 5.1434698124e-01
6.0424804688e+00 1.5910640302e+00 8.7179623035e-01 7.1926779987e-01
6.1035156250e+00 2.0069029894e+00 1.1052849958e+00 9.0161799363e-01
6.1645507812e+00 2.2838525425e+00 1.2663335398e+00 1.0175190026e+00
6.2255859375e+00 2.4232405017e+00 1.3584226271e+00 1.0648178746e+00
6.2866210938e+00 2.4950287683e+00 1.4234836364e+00 1.0715451319e+00
6.3476562500e+00 2.5610657352e+00 1.4973839596e+00 1.0636817755e+00
6.4086914062e+00 2.6246164799e+00 1.5772970999e+00 1.0473193800e+00
6.4697265625e+00 2.6284265687e+00 1.6180566898e+00 1.0103698789e+00
6.5307617188e+00 2.5058023256e+00 1.5672585434e+00 9.3854378226e-01
6.5917968750e+00 2.2533393153e+00 1.4181615393e+00 8.3517777596e-01
6.6528320312e+00 1.9429258261e+00 1.2198662925e+00 7.2305953361e-01
6.7138671875e+00 1.6569654352e+00 1.0316238022e+00 6.2534163299e-01
6.7749023438e+00 1.4329220270e+00 8.8222933567e-01 5.5069269133e-01
6.8359375000e+00 1.2702632993e+00 7.7350749413e-01 4.9675580520e-01
6.8969726562e+00 1.1645195059e+00 7.0402378481e-01 4.6049572114e-01
6.9580078125e+00 1.1239082196e+00 6.8120051992e-01 4.4270769972e-01
7.0190429688e+00 1.1612805233e+00 7.1531965603e-01 4.4596086731e-01
7.0800781250e+00 1.2723838830e+00 8.0238547295e-01 4.6999841000e-01
