# freq_THz  G_total_s  G_Ga_s  G_S_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.1; mass_weighted=True; primitive_atoms=4; total_equals_sum_of_partials=True
4.6386718750e+00 1.5290814558e+00 1.0643197363e+00 4.6476171958e-01
4.6997070312e+00 1.5228161617e+00 1.0696121728e+00 4.5320398889e-01
4.7607421875e+00 1.5282228706e+00 1.0819318111e+00 4.4629105943e-01
4.8217773438e+00 1.5413279484e+00 1.0977602860e+00 4.4356766241e-01
4.8828125000e+00 1.5562385116e+00 1.1126768211e+00 4.4356169048e-01
4.9438476562e+00 1.5693931316e+00 1.1243265222e+00 4.4506660936e-01
5.0048828125e+00 1.5785269467e+00 1.1316463799e+00 4.4688056681e-01
5.0659179688e+00 1.5768809507e+00 1.1308721168e+00 4.4600883394e-01
5.1269531250e+00 1.5489993620e+00 1.1125221166e+00 4.3647724544e-01
5.1879882812e+00 1.4773961854e+00 1.0652595981e+00 4.1213658730e-01
5.2490234375e+00 1.3576704048e+00 9.8542790786e-01 3.7224249691e-01
5.3100585938e+00 1.2045647798e+00 8.8146589854e-01 3.2309888127e-01
5.3710937500e+00 1.0409521398e+00 7.6764411713e-01 2.7330802264e-01
5.4321289062e+00 8.8398529149e-01 6.5546015530e-01 2.2852513618e-01
5.4931640625e+00 7.4197090671e-01 5.5135769412e-01 1.9061321259e-01
5.5541992188e+00 6.1782637471e-01 4.5852900523e-01 1.5929736948e-01
5.6152343750e+00 5.1074218774e-01 3.7751071126e-01 1.3323147648e-01
5.6762695312e+00 4.1721506470e-01 3.0650664023e-01 1.1070842447e-01
5.7373046875e+00 3.3462599360e-01 2.4386046371e-01 9.0765529887e-02
5.7983398438e+00 2.6383787761e-01 1.9016528519e-01 7.3672592424e-02
5.8593750000e+00 2.0744079035e-01 1.4725616199e-01 6.0184628359e-02
5.9204101562e+00 1.6634569769e-01 1.1579447030e-01 5.0551227388e-02
5.9814453125e+00 1.3847134841e-01 9.4237435651e-02 4.4233912754e-02
6.0424804688e+00 1.1997951363e-01 7.9710897672e-02 4.0268615959e-02
6.1035156250e+00 1.0725582581e-01 6.9509063676e-02 3.7746762131e-02
6.1645507812e+00 9.7920586734e-02 6.1870081271e-02 3.6050505463e-02
6.2255859375e+00 9.0693483885e-02 5.5854458464e-02 3.4839025421e-02
6.2866210938e+00 8.4921538831e-02 5.0972125851e-02 3.3949412979e-02
6.3476562500e+00 8.0257369809e-02 4.6948181353e-02 3.3309188456e-02
6.4086914062e+00 7.6482709289e-02 4.3604173174e-02 3.2878536115e-02
6.4697265625e+00 7.3422546368e-02 4.0800760143e-02 3.2621786226e-02
6.5307617188e+00 7.0946016163e-02 3.8434072905e-02 3.2511943258e-02
6.5917968750e+00 6.8989590456e-02 3.6441262541e-02 3.2548327914e-02
6.6528320312e+00 6.7515721556e-02 3.4772149069e-02 3.2743572487e-02
6.7138671875e+00 6.6455693324e-02 3.3358528373e-02 3.3097164951e-02
6.7749023438e+00 6.5750309140e-02 3.2134409184e-02 3.3615899956e-02
6.8359375000e+00 6.5427915485e-02 3.1079138100e-02 3.4348777385e-02
6.8969726562e+00 6.5559541795e-02 3.0211099121e-02 3.5348442674e-02
6.9580078125e+00 6.6136759375e-02 2.9541467464e-02 3.6595291911e-02
7.0190429688e+00 6.7064350134e-02 2.9058641388e-02 3.8005708746e-02
7.0800781250e+00 6.8285352448e-02 2.8751650964e-02 3.9533701484e-02
7.1411132812e+00 6.9866945582e-02 2.8624746522e-02 4.1242199060e-02
7.2021484375e+00 7.1930888216e-02 2.8687583338e-02 4.3243304878e-02
7.2631835938e+00 7.4523027625e-02 2.8944055088e-02 4.5578972537e-02
7.3242187500e+00 7.7605163971e-02 2.9394917868e-02 4.8210246103e-02
7.3852539062e+00 8.1176182507e-02 3.0051911911e-02 5.1124270596e-02
7.4462890625e+00 8.5366681895e-02 3.0955408296e-02 5.4411273600e-02
7.5073242188e+00 9.0420523899e-02 3.2176547861e-02 5.8243976039e-02
7.5683593750e+00 9.6607505070e-02 3.3794387550e-02 6.2813117520e-02
7.6293945312e+00 1.0415256416e-01 3.5876138752e-02 6.8276425407e-02
7.6904296875e+00 1.1325918228e-01 3.8496463925e-02 7.4762718352e-02
7.7514648438e+00 1.2426270097e-01 4.1799426392e-02 8.2463274576e-02
7.8125000000e+00 1.3782198872e-01 4.6053402802e-02 9.1768585914e-02
7.8735351562e+00 1.5497939276e-01 5.1643696233e-02 1.0333569653e-01
7.9345703125e+00 1.7712913949e-01 5.9063134684e-02 1.1806600480e-01
7.9956054688e+00 2.0626144916e-01 6.9046964739e-02 1.3721448443e-01
8.0566406250e+00 2.4569379683e-01 8.2873574938e-02 1.6282022189e-01
8.1176757812e+00 3.0097748094e-01 1.0269750302e-01 1.9827997793e-01
8.1787109375e+00 3.8069458815e-01 1.3186800397e-01 2.4882658417e-01
8.2397460938e+00 4.9719961252e-01 1.7528622960e-01 3.2191338292e-01
8.3007812500e+00 6.6653195470e-01 2.3944306589e-01 4.2708888881e-01
8.3618164062e+00 9.0464544548e-01 3.3094980853e-01 5.7369563695e-01
8.4228515625e+00 1.2169655739e+00 4.5237762062e-01 7.6458795326e-01
8.4838867188e+00 1.5837736783e+00 5.9646689211e-01 9.8730678615e-01
8.5449218750e+00 1.9527225723e+00 7.4328610005e-01 1.2094364722e+00
8.6059570312e+00 2.2512011275e+00 8.6518689927e-01 1.3860142282e+00
8.6669921875e+00 2.4167417201e+00 9.3824696692e-01 1.4784947532e+00
8.7280273438e+00 2.4241518765e+00 9.5169214552e-01 1.4724597310e+00
8.7890625000e+00 2.2891545572e+00 9.0860228080e-01 1.3805522764e+00
8.8500976562e+00 2.0527428150e+00 8.2106240438e-01 1.2316804106e+00
8.9111328125e+00 1.7649837478e+00 7.0653480623e-01 1.0584489416e+00
8.9721679688e+00 1.4749518948e+00 5.8542457232e-01 8.8952732248e-01
9.0332031250e+00 1.2215060852e+00 4.7629353655e-01 7.4521254865e-01
9.0942382812e+00 1.0253198209e+00 3.9036191601e-01 6.3495790487e-01
9.1552734375e+00 8.8868781074e-01 3.3003143144e-01 5.5865637930e-01
9.2163085938e+00 8.0316178212e-01 2.9197515929e-01 5.1118662283e-01
9.2773437500e+00 7.5673906147e-01 2.7078437060e-01 4.8595469086e-01
9.3383789062e+00 7.3452426732e-01 2.6002995741e-01 4.7449430991e-01
9.3994140625e+00 7.1667736729e-01 2.5182423200e-01 4.6485313529e-01
9.4604492188e+00 6.8256049095e-01 2.3818050238e-01 4.4437998857e-01
9.5214843750e+00 6.2195461111e-01 2.1478478256e-01 4.0716982855e-01
9.5825195312e+00 5.4275456920e-01 1.8370702580e-01 3.5904754340e-01
9.6435546875e+00 4.6642822234e-01 1.5191720226e-01 3.1451102008e-01
9.7045898438e+00 4.1502509745e-01 1.2670432120e-01 2.8832077625e-01
9.7656250000e+00 4.0068288143e-01 1.1193727444e-01 2.8874560698e-01
9.8266601562e+00 4.2363306235e-01 1.0758791680e-01 3.1604514555e-01
9.8876953125e+00 4.7593290510e-01 1.1144531434e-01 3.6448759076e-01
9.9487304688e+00 5.4613685397e-01 1.2078493403e-01 4.2535191994e-01
1.0009765625e+01 6.2297880743e-01 1.3313313540e-01 4.8984567204e-01
1.0070800781e+01 6.9752423862e-01 1.4647688150e-01 5.5104735712e-01
1.0131835938e+01 7.6419001974e-01 1.5940470361e-01 6.0478531613e-01
1.0192871094e+01 8.2163353669e-01 1.7132176361e-01 6.5031177308e-01
1.0253906250e+01 8.7320428157e-01 1.8259863741e-01 6.9060564416e-01
1.0314941406e+01 9.2592248032e-01 1.9449639568e-01 7.3142608464e-01
1.0375976562e+01 9.8723919959e-01 2.0862588160e-01 7.7861331799e-01
1.0437011719e+01 1.0607330503e+00 2.2602779188e-01 8.3470525845e-01
1.0498046875e+01 1.1453151429e+00 2.4687565696e-01 8.9843948590e-01
1.0559082031e+01 1.2403556619e+00 2.7143547399e-01 9.6892018796e-01
1.0620117188e+01 1.3508975353e+00 3.0101736403e-01 1.0498801713e+00
1.0681152344e+01 1.4854910164e+00 3.3730269881e-01 1.1481883176e+00
1.0742187500e+01 1.6492575283e+00 3.8079195808e-01 1.2684655702e+00
1.0803222656e+01 1.8399120965e+00 4.3026288078e-01 1.4096492158e+00
1.0864257812e+01 2.0458974799e+00 4.8300563434e-01 1.5628918456e+00
1.0925292969e+01 2.2440900357e+00 5.3477964253e-01 1.7093103932e+00
1.0986328125e+01 2.4048790458e+00 5.8058843983e-01 1.8242906059e+00
1.1047363281e+01 2.5094893707e+00 6.1744418798e-01 1.8920451827e+00
1.1108398438e+01 2.5643327100e+00 6.4665397246e-01 1.9176787375e+00
1.1169433594e+01 2.5918255152e+00 6.7171271093e-01 1.9201128042e+00
1.1230468750e+01 2.6042245216e+00 6.9305337909e-01 1.9111711425e+00
1.1291503906e+01 2.5911926789e+00 7.0607576934e-01 1.8851169095e+00
1.1352539062e+01 2.5346651601e+00 7.0528104470e-01 1.8293841154e+00
1.1413574219e+01 2.4308754550e+00 6.8966844738e-01 1.7412070076e+00
1.1474609375e+01 2.2947741561e+00 6.6343155235e-01 1.6313426038e+00
1.1535644531e+01 2.1457560396e+00 6.3185749510e-01 1.5138985444e+00
1.1596679688e+01 1.9928250582e+00 5.9726482455e-01 1.3955602337e+00
1.1657714844e+01 1.8333437862e+00 5.5875198674e-01 1.2745917995e+00
1.1718750000e+01 1.6625679993e+00 5.1493852378e-01 1.1476294755e+00
1.1779785156e+01 1.4822771086e+00 4.6643424850e-01 1.0158428601e+00
1.1840820312e+01 1.3015882917e+00 4.1606843241e-01 8.8551985925e-01
1.1901855469e+01 1.1307143525e+00 3.6700072813e-01 7.6371362442e-01
1.1962890625e+01 9.7315342727e-01 3.2027285250e-01 6.5288057477e-01
1.2023925781e+01 8.2390619598e-01 2.7425009679e-01 5.4965609919e-01
1.2084960938e+01 6.7644278041e-01 2.2696049573e-01 4.4948228468e-01
1.2145996094e+01 5.3173774859e-01 1.7915205691e-01 3.5258569168e-01
1.2207031250e+01 4.0004566650e-01 1.3485351487e-01 2.6519215163e-01
1.2268066406e+01 2.9338683375e-01 9.8677508448e-02 1.9470932530e-01
1.2329101562e+01 2.1668212341e-01 7.2643106317e-02 1.4403901709e-01
1.2390136719e+01 1.6611170082e-01 5.5576370638e-02 1.1053533019e-01
1.2451171875e+01 1.3378585306e-01 4.4783553059e-02 8.9002299996e-02
1.2512207031e+01 1.1246747554e-01 3.7759273928e-02 7.4708201615e-02
1.2573242188e+01 9.7409383894e-02 3.2860114778e-02 6.4549269116e-02
1.2634277344e+01 8.6106847390e-02 2.9221734110e-02 5.6885113280e-02
1.2695312500e+01 7.7342375926e-02 2.6422785743e-02 5.0919590182e-02
1.2756347656e+01 7.0388210449e-02 2.4211141083e-02 4.6177069366e-02
1.2817382812e+01 6.4686105205e-02 2.2397689842e-02 4.2288415363e-02
1.2878417969e+01 5.9833013706e-02 2.0849566864e-02 3.8983446841e-02
1.2939453125e+01 5.5589978474e-02 1.9490059037e-02 3.6099919437e-02
1.3000488281e+01 5.1832758804e-02 1.8284331241e-02 3.3548427563e-02
1.3061523438e+01 4.8494162190e-02 1.7219480151e-02 3.1274682039e-02
