# freq_THz  G_total_s  G_In_s  G_Se_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.1; mass_weighted=True; primitive_atoms=4; total_equals_sum_of_partials=True
4.6386718750e+00 1.7805347639e+00 8.1258569538e-01 9.6794906851e-01
4.6997070312e+00 2.0754529189e+00 9.6560877371e-01 1.1098441452e+00
4.7607421875e+00 2.2337522271e+00 1.0714166699e+00 1.1623355572e+00
4.8217773438e+00 2.3351649664e+00 1.1677784359e+00 1.1673865305e+00
4.8828125000e+00 2.4664784699e+00 1.2910643345e+00 1.1754141354e+00
4.9438476562e+00 2.6358416597e+00 1.4340977422e+00 1.2017439175e+00
5.0048828125e+00 2.7612887809e+00 1.5405108228e+00 1.2207779581e+00
5.0659179688e+00 2.7335412391e+00 1.5411005165e+00 1.1924407225e+00
5.1269531250e+00 2.5094578173e+00 1.4090889101e+00 1.1003689072e+00
5.1879882812e+00 2.1571592248e+00 1.1856159338e+00 9.7154329100e-01
5.2490234375e+00 1.8072576299e+00 9.4884693821e-01 8.5841069165e-01
5.3100585938e+00 1.5631918914e+00 7.6100485094e-01 8.0218704042e-01
5.3710937500e+00 1.4561655067e+00 6.4357078293e-01 8.1259472381e-01
5.4321289062e+00 1.4610466682e+00 5.8733577996e-01 8.7371088825e-01
5.4931640625e+00 1.5314322822e+00 5.7224444252e-01 9.5918783965e-01
5.5541992188e+00 1.6229922186e+00 5.7995662387e-01 1.0430355947e+00
5.6152343750e+00 1.7048250401e+00 5.9822428168e-01 1.1066007584e+00
5.6762695312e+00 1.7669515452e+00 6.2162132496e-01 1.1453302203e+00
5.7373046875e+00 1.8243841546e+00 6.5181397086e-01 1.1725701838e+00
5.7983398438e+00 1.9141201635e+00 6.9753392112e-01 1.2165862424e+00
5.8593750000e+00 2.0845460114e+00 7.7249789143e-01 1.3120481200e+00
5.9204101562e+00 2.3760034405e+00 8.8924433507e-01 1.4867591054e+00
5.9814453125e+00 2.7921450306e+00 1.0490890349e+00 1.7430559957e+00
6.0424804688e+00 3.2794173967e+00 1.2348648235e+00 2.0445525733e+00
6.1035156250e+00 3.7420317079e+00 1.4153684821e+00 2.3266632257e+00
6.1645507812e+00 4.0871703755e+00 1.5590206153e+00 2.5281497602e+00
6.2255859375e+00 4.2595663573e+00 1.6440693005e+00 2.6154970568e+00
6.2866210938e+00 4.2434182895e+00 1.6600715915e+00 2.5833466980e+00
6.3476562500e+00 4.0489787564e+00 1.6060416951e+00 2.4429370613e+00
6.4086914062e+00 3.7045280678e+00 1.4895948155e+00 2.2149332523e+00
6.4697265625e+00 3.2538226616e+00 1.3260728947e+00 1.9277497669e+00
6.5307617188e+00 2.7498152987e+00 1.1355433975e+00 1.6142719012e+00
6.5917968750e+00 2.2433243688e+00 9.3816864345e-01 1.3051557254e+00
6.6528320312e+00 1.7738976706e+00 7.5061059579e-01 1.0232870749e+00
6.7138671875e+00 1.3672215674e+00 5.8475999791e-01 7.8246156952e-01
6.7749023438e+00 1.0360640685e+00 4.4755200499e-01 5.8851206350e-01
6.8359375000e+00 7.8153495046e-01 3.4090334028e-01 4.4063161018e-01
6.8969726562e+00 5.9526548854e-01 2.6229509886e-01 3.3297038967e-01
6.9580078125e+00 4.6333276961e-01 2.0637713278e-01 2.5695563684e-01
7.0190429688e+00 3.7085487258e-01 1.6705562302e-01 2.0379924956e-01
7.0800781250e+00 3.0539103939e-01 1.3913165182e-01 1.6625938756e-01
7.1411132812e+00 2.5802922712e-01 1.1888041616e-01 1.3914881095e-01
7.2021484375e+00 2.2278947327e-01 1.0381368858e-01 1.1897578469e-01
7.2631835938e+00 1.9573547798e-01 9.2286200012e-02 1.0344927797e-01
7.3242187500e+00 1.7432023286e-01 8.3215933908e-02 9.1104298956e-02
7.3852539062e+00 1.5687322217e-01 7.5872101567e-02 8.1001120607e-02
7.4462890625e+00 1.4226318512e-01 6.9740717326e-02 7.2522467796e-02
7.5073242188e+00 1.2972039371e-01 6.4468707611e-02 6.5251686103e-02
7.5683593750e+00 1.1873449974e-01 5.9836629069e-02 5.8897870668e-02
7.6293945312e+00 1.0901323530e-01 5.5732323727e-02 5.3280911569e-02
7.6904296875e+00 1.0041014194e-01 5.2096221885e-02 4.8313920051e-02
7.7514648438e+00 9.2798753691e-02 4.8863862994e-02 4.3934890697e-02
7.8125000000e+00 8.6050126780e-02 4.5979400014e-02 4.0070726766e-02
7.8735351562e+00 8.0105423803e-02 4.3435149627e-02 3.6670274176e-02
7.9345703125e+00 7.4966301101e-02 4.1244608946e-02 3.3721692156e-02
7.9956054688e+00 7.0602729049e-02 3.9387894260e-02 3.1214834789e-02
8.0566406250e+00 6.6901619617e-02 3.7802507792e-02 2.9099111825e-02
8.1176757812e+00 6.3711029960e-02 3.6421280146e-02 2.7289749814e-02
8.1787109375e+00 6.0931173822e-02 3.5215914622e-02 2.5715259199e-02
8.2397460938e+00 5.8530557851e-02 3.4187970824e-02 2.4342587026e-02
8.3007812500e+00 5.6463690429e-02 3.3314265340e-02 2.3149425089e-02
8.3618164062e+00 5.4622216156e-02 3.2527930257e-02 2.2094285899e-02
8.4228515625e+00 5.2880755313e-02 3.1752219373e-02 2.1128535940e-02
8.4838867188e+00 5.1143580429e-02 3.0924779456e-02 2.0218800974e-02
8.5449218750e+00 4.9341512814e-02 2.9999862522e-02 1.9341650291e-02
8.6059570312e+00 4.7437171783e-02 2.8964535066e-02 1.8472636716e-02
8.6669921875e+00 4.5450667607e-02 2.7853153880e-02 1.7597513727e-02
8.7280273438e+00 4.3442371667e-02 2.6719000269e-02 1.6723371397e-02
8.7890625000e+00 4.1456151583e-02 2.5589287239e-02 1.5866864344e-02
8.8500976562e+00 3.9499613839e-02 2.4461893111e-02 1.5037720728e-02
8.9111328125e+00 3.7579008608e-02 2.3341251651e-02 1.4237756958e-02
8.9721679688e+00 3.5728219262e-02 2.2257491441e-02 1.3470727821e-02
9.0332031250e+00 3.3991983584e-02 2.1244004815e-02 1.2747978769e-02
9.0942382812e+00 3.2396100870e-02 2.0311946767e-02 1.2084154103e-02
9.1552734375e+00 3.0942276617e-02 1.9452912029e-02 1.1489364588e-02
9.2163085938e+00 2.9619462130e-02 1.8655331619e-02 1.0964130511e-02
9.2773437500e+00 2.8419744003e-02 1.7917981796e-02 1.0501762207e-02
9.3383789062e+00 2.7347734680e-02 1.7250934445e-02 1.0096800236e-02
9.3994140625e+00 2.6408009988e-02 1.6660468064e-02 9.7475419238e-03
9.4604492188e+00 2.5592955666e-02 1.6141980468e-02 9.4509751973e-03
9.5214843750e+00 2.4889070363e-02 1.5689402135e-02 9.1996682280e-03
9.5825195312e+00 2.4274769543e-02 1.5293730704e-02 8.9810388383e-03
9.6435546875e+00 2.3709350907e-02 1.4931151406e-02 8.7781995011e-03
9.7045898438e+00 2.3144364780e-02 1.4569026162e-02 8.5753386178e-03
9.7656250000e+00 2.2552299408e-02 1.4188405310e-02 8.3638940974e-03
9.8266601562e+00 2.1940812454e-02 1.3795105469e-02 8.1457069854e-03
9.8876953125e+00 2.1341492544e-02 1.3408409940e-02 7.9330826047e-03
9.9487304688e+00 2.0789384492e-02 1.3045046797e-02 7.7443376950e-03
1.0009765625e+01 2.0308520077e-02 1.2712342359e-02 7.5961777180e-03
1.0070800781e+01 1.9902952775e-02 1.2406587181e-02 7.4963655934e-03
1.0131835938e+01 1.9554710827e-02 1.2114376110e-02 7.4403347171e-03
1.0192871094e+01 1.9236776597e-02 1.1820195844e-02 7.4165807532e-03
1.0253906250e+01 1.8939181276e-02 1.1521258606e-02 7.4179226700e-03
1.0314941406e+01 1.8688065203e-02 1.1239839480e-02 7.4482257231e-03
1.0375976562e+01 1.8534973231e-02 1.1014392981e-02 7.5205802501e-03
1.0437011719e+01 1.8520295721e-02 1.0871234363e-02 7.6490613581e-03
1.0498046875e+01 1.8644069270e-02 1.0805483440e-02 7.8385858297e-03
1.0559082031e+01 1.8871836490e-02 1.0790364107e-02 8.0814723832e-03
1.0620117188e+01 1.9163650265e-02 1.0801614311e-02 8.3620359534e-03
1.0681152344e+01 1.9489931232e-02 1.0828399200e-02 8.6615320311e-03
1.0742187500e+01 1.9824260850e-02 1.0863062219e-02 8.9611986312e-03
1.0803222656e+01 2.0135186902e-02 1.0890825853e-02 9.2443610490e-03
1.0864257812e+01 2.0391574464e-02 1.0894956461e-02 9.4966180032e-03
1.0925292969e+01 2.0574136944e-02 1.0867992347e-02 9.7061445966e-03
1.0986328125e+01 2.0675099132e-02 1.0811471026e-02 9.8636281067e-03
1.1047363281e+01 2.0679801276e-02 1.0721855626e-02 9.9579456508e-03
1.1108398438e+01 2.0555153427e-02 1.0583053278e-02 9.9721001495e-03
1.1169433594e+01 2.0266315782e-02 1.0378539242e-02 9.8877765396e-03
