# q_distance branch_1_THz branch_2_THz branch_3_THz branch_4_THz branch_5_THz branch_6_THz branch_7_THz branch_8_THz branch_9_THz branch_10_THz branch_11_THz branch_12_THz
8.911801901702427753e-02 9.984687279877341171e-01 1.475494037692142824e+00 1.612710258400332108e+00 1.630776667004023350e+00 2.559674043543974875e+00 3.103266446909105802e+00 4.760979554730508490e+00 4.856944925963777138e+00 6.033459219605008528e+00 6.120533280972099810e+00 6.170972735584134838e+00 6.438728539575047094e+00
9.044813870384553478e-02 1.015731323211925385e+00 1.489931312526670659e+00 1.619635609352655381e+00 1.625550665577392362e+00 2.569405110212430454e+00 3.123388057061738277e+00 4.771296513694664121e+00 4.858880680011525399e+00 6.022449784443719700e+00 6.115082584579483616e+00 6.154107137114881887e+00 6.433643186488612997e+00
9.177825839066679203e-02 1.032856121310261832e+00 1.504004219616577709e+00 1.608196972079332765e+00 1.638083799297352483e+00 2.578151809411442841e+00 3.143264963832517189e+00 4.782362398295886052e+00 4.861060080334791422e+00 6.011382914646716813e+00 6.109721197479881738e+00 6.137007059134561793e+00 6.428643134843832208e+00
9.310837807748804928e-02 1.049824981984382788e+00 1.517706331681702325e+00 1.596519019539829998e+00 1.650302102133532012e+00 2.585940989904747855e+00 3.162848861055865601e+00 4.794159450116570298e+00 4.863480632482198196e+00 6.000272742385943658e+00 6.104455365122376520e+00 6.119679493338044729e+00 6.423734122052954021e+00
9.443849776430929266e-02 1.066618851945033697e+00 1.531031281371572961e+00 1.584657535778284609e+00 1.662198171527510038e+00 2.592803122664731674e+00 3.182094858955858196e+00 4.806666478771440154e+00 4.866138426068967959e+00 5.989134441042879509e+00 6.099291286075254170e+00 6.102132231645090776e+00 6.418921833192714033e+00
9.576861745113054991e-02 1.083217740765739290e+00 1.543972770519742133e+00 1.572666022229173288e+00 1.673764763481409679e+00 2.598772112342100371e+00 3.200961320321774828e+00 4.819858976116885962e+00 4.869028021948466289e+00 5.977984281968828917e+00 6.084373962653276458e+00 6.094235102063951359e+00 6.414211892118826697e+00
9.709873713795180716e-02 1.099600699709468943e+00 1.556524579675529152e+00 1.560595885359450818e+00 1.684994796755745039e+00 2.603885079592256790e+00 3.219409700177213285e+00 4.833709239740746177e+00 4.872142339831118107e+00 5.966839692188165678e+00 6.066414385217323790e+00 6.089292887755297201e+00 6.409609852404679842e+00
9.842885682477306442e-02 1.115745804577924050e+00 1.548496609892332065e+00 1.568680577890107619e+00 1.695881357531374478e+00 2.608182119274783606e+00 3.237404391713580853e+00 4.848186495936211315e+00 4.875472548204715650e+00 5.955719312256207765e+00 6.048264342859513754e+00 6.084470640311115730e+00 6.405121188125237452e+00
9.975897651159432167e-02 1.131630143808912248e+00 1.536415914630361979e+00 1.580434732730992442e+00 1.706417704493494059e+00 2.611706039534828605e+00 3.254912579830735453e+00 4.863257011283257825e+00 4.879007958716962357e+00 5.944643053228084284e+00 6.029935983630259067e+00 6.079774268737129006e+00 6.400751284509301087e+00
1.010890961984155789e-01 1.147229813235504992e+00 1.524399888942622683e+00 1.591781120495973756e+00 1.716597274294877629e+00 2.614502086486461430e+00 3.271904102569755501e+00 4.878884180901444267e+00 4.882735927510455376e+00 5.933632151387267406e+00 6.011442951200538509e+00 6.075209583056006224e+00 6.396505428485312450e+00
