# frequency_THz total_states_per_THz_per_atom In_contribution Se_contribution
5.240000000000005542e+00 1.985525794857791737e-01 1.040717275015366067e-01 9.448085198424269193e-02
5.260000000000005116e+00 1.757067150146641998e-01 9.083058076880268228e-02 8.487613424586153144e-02
5.280000000000004690e+00 1.558324535410000600e-01 7.887130047470589100e-02 7.696115306629416897e-02
5.300000000000005151e+00 1.397867795220209541e-01 6.861223991819442869e-02 7.117453960382666422e-02
5.320000000000005613e+00 1.283364420019995622e-01 6.043469794772065445e-02 6.790174405427890081e-02
5.340000000000005187e+00 1.220458888373598672e-01 5.460877759736999099e-02 6.743711123998991086e-02
5.360000000000004761e+00 1.212393884915054787e-01 5.126348597294113490e-02 6.997590251856430910e-02
5.380000000000005222e+00 1.260184161740777742e-01 5.039274815197447577e-02 7.562566802210331229e-02
5.400000000000005684e+00 1.363059001601446552e-01 5.188287869522182488e-02 8.442302146492278170e-02
5.420000000000005258e+00 1.518897468043730603e-01 5.554626683927583325e-02 9.634347996509720624e-02
5.440000000000004832e+00 1.724471444596643310e-01 6.114963581823217031e-02 1.112975086414321468e-01
5.460000000000005294e+00 1.975443316039990627e-01 6.843121966553561419e-02 1.291131119384633652e-01
5.480000000000005755e+00 2.266189975790366407e-01 7.710723925807894119e-02 1.495117583209576440e-01
5.500000000000005329e+00 2.589603239357949338e-01 8.687226779213939876e-02 1.720880561436556044e-01
5.520000000000004903e+00 2.937028950215591627e-01 9.739950721189954974e-02 1.963033878096595297e-01
5.540000000000005365e+00 3.298457018581726352e-01 1.083457762728397555e-01 2.214999255853326021e-01
5.560000000000005826e+00 3.662986407552847878e-01 1.193631152616595192e-01 2.469355254936251576e-01
5.580000000000005400e+00 4.019497314295253365e-01 1.301157171079429520e-01 2.718340143215827176e-01
5.600000000000004974e+00 4.357400358112917815e-01 1.402986547985931309e-01 2.954413810126985673e-01
5.620000000000005436e+00 4.667319516869827822e-01 1.496543149251199911e-01 3.170776367618627356e-01
5.640000000000005898e+00 4.941602892312364492e-01 1.579835784229300377e-01 3.361767108083062450e-01
5.660000000000005471e+00 5.174625966563173307e-01 1.651509959516076487e-01 3.523116007047094600e-01
5.680000000000005045e+00 5.362927731867828118e-01 1.710855395091321063e-01 3.652072336776507333e-01
5.700000000000005507e+00 5.505272773243959916e-01 1.757800754305031687e-01 3.747472018938927674e-01
5.720000000000005969e+00 5.602744032503496063e-01 1.792929614094289081e-01 3.809814418409208092e-01
5.740000000000005542e+00 5.658939195235210828e-01 1.817540832386453087e-01 3.841398362848759129e-01
5.760000000000005116e+00 5.680280571517692945e-01 1.833755998730636771e-01 3.846524572787057283e-01
5.780000000000005578e+00 5.676374082598854010e-01 1.844652474624510208e-01 3.831721607974342136e-01
5.800000000000006040e+00 5.660287191040535015e-01 1.854378253090592232e-01 3.805908937949940007e-01
5.820000000000005613e+00 5.648571896843259665e-01 1.868188577012859786e-01 3.780383319830395439e-01
5.840000000000005187e+00 5.660844490547627395e-01 1.892336855821209474e-01 3.768507634726415700e-01
5.860000000000005649e+00 5.718753766267957728e-01 1.933756971657739632e-01 3.784996794610218096e-01
5.880000000000006111e+00 5.844231461025559682e-01 1.999494658304742101e-01 3.844736802720816193e-01
5.900000000000005684e+00 6.057032266378032936e-01 2.095886311884505582e-01 3.961145954493523469e-01
5.920000000000005258e+00 6.371738863040117273e-01 2.227544930356918085e-01 4.144193932683200576e-01
5.940000000000005720e+00 6.794613480852124132e-01 2.396287587916510198e-01 4.398325892935610604e-01
5.960000000000006182e+00 7.320875585897449467e-01 2.600209200819081357e-01 4.720666385078375327e-01
5.980000000000005755e+00 7.933103483839508696e-01 2.833147347565262431e-01 5.099956136274247376e-01
6.000000000000005329e+00 8.601419020148689532e-01 3.084766355790753423e-01 5.516652664357934999e-01
6.020000000000005791e+00 9.285871641821935585e-01 3.341401099030136268e-01 5.944470542791802092e-01
6.040000000000006253e+00 9.941005675811618314e-01 3.587649314594142380e-01 6.353356361217481485e-01
6.060000000000005826e+00 1.052206318798357909e+00 3.808518386639759834e-01 6.713544801343822588e-01
6.080000000000005400e+00 1.099179149893967589e+00 3.991768870240294254e-01 7.000022628699382743e-01
6.100000000000005862e+00 1.132654511437653833e+00 4.130004083451671026e-01 7.196541030924867854e-01
6.120000000000006324e+00 1.152040124879801564e+00 4.222066100211221973e-01 7.298335148586798660e-01
6.140000000000005898e+00 1.158635664300784462e+00 4.273415249779407010e-01 7.312941393228437059e-01
6.160000000000005471e+00 1.155425123919666008e+00 4.295362752261132622e-01 7.258888486935528572e-01
6.180000000000005933e+00 1.146571717657711709e+00 4.303245111738372985e-01 7.162472064838748542e-01
6.200000000000006395e+00 1.136701983358020973e+00 4.313824763120318040e-01 7.053195070459892246e-01
6.220000000000005969e+00 1.130102935522391494e+00 4.342339873499425629e-01 6.958689481724490422e-01
6.240000000000005542e+00 1.129969445287102303e+00 4.399692807421947682e-01 6.900001645449077570e-01
6.260000000000006004e+00 1.137829976203476035e+00 4.490261023193089507e-01 6.888038738841676389e-01
6.280000000000006466e+00 1.153251123101841635e+00 4.610738843451684388e-01 6.921772387566731410e-01
6.300000000000006040e+00 1.173878558858415522e+00 4.750274473801694430e-01 6.988511114782465228e-01
6.320000000000005613e+00 1.195817212150495745e+00 4.891957911184984797e-01 7.066214210319976541e-01
6.340000000000006075e+00 1.214292134635968079e+00 5.015461789068762499e-01 7.127459557290912739e-01
6.360000000000006537e+00 1.224473482665549007e+00 5.100383831481496433e-01 7.144350995173995855e-01
6.380000000000006111e+00 1.222308517625732005e+00 5.129652809915266065e-01 7.093432366342053985e-01
6.400000000000005684e+00 1.205194788780531878e+00 5.092306562016984950e-01 6.959641325788334942e-01
6.420000000000006146e+00 1.172359501302683293e+00 4.985068170658005782e-01 6.738526842368837144e-01
6.440000000000006608e+00 1.124876418310539528e+00 4.812419392345601565e-01 6.436344790759798151e-01
6.460000000000006182e+00 1.065336785916390250e+00 4.585227932264462902e-01 6.068139926899437375e-01
6.480000000000005755e+00 9.972703958923954115e-01 4.318323141034721147e-01 5.654380817889231858e-01
6.500000000000006217e+00 9.244639837329645671e-01 4.027634341851821231e-01 5.217005495477824439e-01
6.520000000000006679e+00 8.503335258033035693e-01 3.727550267506546944e-01 4.775784990526498186e-01
6.540000000000006253e+00 7.774756236876230187e-01 3.429029908235055046e-01 4.345726328641176250e-01
6.560000000000005826e+00 7.074645315072021212e-01 3.138750299788234943e-01 3.935895015283784604e-01
6.580000000000006288e+00 6.408952449618854352e-01 2.859297996220979687e-01 3.549654453397875775e-01
6.600000000000006750e+00 5.776179163811399064e-01 2.590175991603903549e-01 3.186003172207499956e-01
6.620000000000006324e+00 5.170764000036602859e-01 2.329256749878213517e-01 2.841507250158391562e-01
6.640000000000005898e+00 4.586570927820987631e-01 2.074279436659807740e-01 2.512291491161180446e-01
6.660000000000006359e+00 4.019694618110477013e-01 1.824050586648490735e-01 2.195644031461986279e-01
6.680000000000006821e+00 3.470088231434022008e-01 1.579130412082682677e-01 1.890957819351341551e-01
6.700000000000006395e+00 2.941861820785153792e-01 1.341934818156217957e-01 1.599927002628936390e-01
6.720000000000005969e+00 2.442414000028481080e-01 1.116321928566942762e-01 1.326092071461540123e-01
6.740000000000006430e+00 1.980787530350576753e-01 9.068348436520694278e-02 1.073952686698507880e-01
6.760000000000006892e+00 1.565746974031275995e-01 7.178228002414956122e-02 8.479241737897795506e-02
6.780000000000006466e+00 1.204057143882921177e-01 5.526563870454247185e-02 6.514007568374975687e-02
6.800000000000006040e+00 8.993161309976613338e-02 4.131974764059660049e-02 4.861186545916947044e-02
6.820000000000006501e+00 6.515102259768211501e-02 2.996004986258556796e-02 3.519097273509653317e-02
6.840000000000006963e+00 4.572647950056705352e-02 2.104335735903009597e-02 2.468312214153697143e-02
6.860000000000006537e+00 3.106147557275995910e-02 1.430388566413086718e-02 1.675758990862909539e-02
6.880000000000006111e+00 2.040411875530274630e-02 9.401564238918486832e-03 1.100255451638425599e-02
6.900000000000006573e+00 1.295214541881405633e-02 5.970978145756374034e-03 6.981167273057685765e-03
6.920000000000007034e+00 7.940075130690006991e-03 3.662060176794232867e-03 4.278014953895774991e-03
6.940000000000006608e+00 4.698232393241694518e-03 2.167762250792658503e-03 2.530470142449034281e-03
6.960000000000006182e+00 2.682071825065520092e-03 1.237958208317597704e-03 1.444113616747922171e-03
6.980000000000006644e+00 1.476582053942903467e-03 6.817672811968690733e-04 7.948147727460352615e-04
7.000000000000007105e+00 7.836884781730127369e-04 3.619525210213798689e-04 4.217359571516331391e-04
7.020000000000006679e+00 4.008614513514137325e-04 1.851911779524664521e-04 2.156702733989474430e-04
7.040000000000006253e+00 1.975569988615708927e-04 9.129058452646901794e-05 1.062664143351019154e-04
7.060000000000006715e+00 9.378512040876566490e-05 4.334769468556844564e-05 5.043742572319725992e-05
7.080000000000007176e+00 4.287723700512500801e-05 1.982208455482047254e-05 2.305515245030450498e-05
7.100000000000006750e+00 1.887509396722395017e-05 8.727603036427592913e-06 1.014749093079636403e-05
7.120000000000006324e+00 7.999225180864718857e-06 3.699395365249167150e-06 4.299829815615555096e-06
7.140000000000006786e+00 3.263156222192269873e-06 1.509356942242389471e-06 1.753799279949880190e-06
7.160000000000007248e+00 1.281151015737089113e-06 5.926803985582803669e-07 6.884706171788093813e-07
7.180000000000006821e+00 4.840414263542800765e-07 2.239568295435549521e-07 2.600845968107251773e-07
7.200000000000006395e+00 1.759692807441972866e-07 8.142842115596617323e-08 9.454085958823139131e-08
7.220000000000006857e+00 6.154888688527627389e-08 2.848478617575336554e-08 3.306410070952286864e-08
7.240000000000007319e+00 2.071063695670248093e-08 9.585977307209922927e-09 1.112465964949257786e-08
7.260000000000006892e+00 6.703799922752204026e-09 3.103209141855009159e-09 3.600590780897199003e-09
7.280000000000006466e+00 2.087231083843638947e-09 9.662839142931506579e-10 1.120947169550488702e-09
7.300000000000006928e+00 6.250464381693807414e-10 2.893930589256660445e-10 3.356533792437145935e-10
7.320000000000007390e+00 1.800193337822434428e-10 8.335548775918189038e-11 9.666384602306147483e-11
7.340000000000006963e+00 4.986160047748963611e-11 2.308969989915525391e-11 2.677190057833438543e-11
7.360000000000006537e+00 1.328099347928756057e-11 6.150602259045428966e-12 7.130391220242140495e-12
7.380000000000006999e+00 3.401661396424444218e-12 1.575474228475573389e-12 1.826187167948871233e-12
7.400000000000007461e+00 8.377766934585271799e-13 3.880430551494736844e-13 4.497336383090532430e-13
7.420000000000007034e+00 1.983919800443565988e-13 9.189789769248753388e-14 1.064940823518689135e-13
7.440000000000006608e+00 4.517122716154155874e-14 2.092530020308970252e-14 2.424592695845187830e-14
7.460000000000007070e+00 9.888401749201784772e-15 4.581027297736428225e-15 5.307374451465357335e-15
7.480000000000007532e+00 2.081145007517472496e-15 9.641948506925969082e-16 1.116950156824876180e-15
7.500000000000007105e+00 4.210921918327152853e-16 1.951030917969883524e-16 2.259891000357270808e-16
