# frequency_THz total_states_per_THz_per_atom In_contribution Se_contribution
8.400000000000011902e-01 3.152253989294448444e-01 1.697844203409562547e-01 1.454409785884888118e-01
8.600000000000012079e-01 3.271928469762312441e-01 1.752461607050698755e-01 1.519466862711616462e-01
8.800000000000012257e-01 3.402637411912730614e-01 1.810608787970683919e-01 1.592028623942043919e-01
9.000000000000012434e-01 3.548020999003578257e-01 1.873773387699976256e-01 1.674247611303601724e-01
9.200000000000012612e-01 3.711372850523686484e-01 1.943310307437926543e-01 1.768062543085757166e-01
9.400000000000012790e-01 3.895234947724817154e-01 2.020280391029214417e-01 1.874954556695603292e-01
9.600000000000012967e-01 4.101059864252353249e-01 2.105317619176272359e-01 1.995742245076084220e-01
9.800000000000013145e-01 4.329021607920540693e-01 2.198555629605197792e-01 2.130465978315342346e-01
1.000000000000001332e+00 4.578039400759192912e-01 2.299637317240738055e-01 2.278402083518450971e-01
1.020000000000001350e+00 4.846037181616099088e-01 2.407814739010262772e-01 2.438222442605839091e-01
1.040000000000001368e+00 5.130404244649772183e-01 2.522124339451260466e-01 2.608279905198513382e-01
1.060000000000001386e+00 5.428564740790580156e-01 2.641600965699809622e-01 2.786963775090774420e-01
1.080000000000001403e+00 5.738522458119705849e-01 2.765479700413158159e-01 2.973042757706546579e-01
1.100000000000001421e+00 6.059234406489558689e-01 2.893331415017509345e-01 3.165902991472051009e-01
1.120000000000001439e+00 6.390686395694913369e-01 3.025086999074331207e-01 3.365599396620578831e-01
1.140000000000001457e+00 6.733592692125448531e-01 3.160924495218574437e-01 3.572668196906875204e-01
1.160000000000001474e+00 7.088712181801117840e-01 3.301019557290023609e-01 3.787692624511096451e-01
1.180000000000001492e+00 7.455855850502899340e-01 3.445189307611011831e-01 4.010666542891888620e-01
1.200000000000001510e+00 7.832744220108668332e-01 3.592489230667739175e-01 4.240254989440930267e-01
1.220000000000001528e+00 8.213944956117282814e-01 3.740847484316880966e-01 4.473097471800405178e-01
1.240000000000001545e+00 8.590161761787333816e-01 3.886834235246392488e-01 4.703327526540939107e-01
1.260000000000001563e+00 8.948134975586506945e-01 4.025657554865227361e-01 4.922477420721289021e-01
1.280000000000001581e+00 9.271336270927196255e-01 4.151446407238335023e-01 5.119889863688860121e-01
1.300000000000001599e+00 9.541494850878173839e-01 4.257826201570200642e-01 5.283668649307970977e-01
1.320000000000001616e+00 9.740804941960135022e-01 4.338723609447116547e-01 5.402081332513021250e-01
1.340000000000001634e+00 9.854481389326191776e-01 4.389273558998987301e-01 5.465207830327205585e-01
1.360000000000001652e+00 9.873208234345294265e-01 4.406663570112675510e-01 5.466544664232618755e-01
1.380000000000001670e+00 9.795008406776030130e-01 4.390753410756119135e-01 5.404254996019912660e-01
1.400000000000001688e+00 9.626162499755627211e-01 4.344351943628739776e-01 5.281810556126885770e-01
1.420000000000001705e+00 9.380991927424396915e-01 4.273102871305622941e-01 5.107889056118775084e-01
1.440000000000001723e+00 9.080537558773206230e-01 4.185002273274008866e-01 4.895535285499197364e-01
1.460000000000001741e+00 8.750345606886961169e-01 4.089620890119400332e-01 4.660724716767562503e-01
1.480000000000001759e+00 8.417677978366129299e-01 3.997123902360504299e-01 4.420554076005628330e-01
1.500000000000001776e+00 8.108493256663095172e-01 3.917178920178222001e-01 4.191314336484870395e-01
1.520000000000001794e+00 7.844528773808023825e-01 3.857839169441780180e-01 3.986689604366245865e-01
1.540000000000001812e+00 7.640793808061587811e-01 3.824501574471537158e-01 3.816292233590049543e-01
1.560000000000001830e+00 7.503777716997487301e-01 3.819070863703964425e-01 3.684706853293518436e-01
1.580000000000001847e+00 7.430666761832511735e-01 3.839491901493659043e-01 3.591174860338852692e-01
1.600000000000001865e+00 7.409803719355183560e-01 3.879810585619329899e-01 3.529993133735853661e-01
1.620000000000001883e+00 7.422472646065094715e-01 3.930861133764801396e-01 3.491611512300296649e-01
1.640000000000001901e+00 7.445844143275567317e-01 3.981551170903196990e-01 3.464292972372369217e-01
1.660000000000001918e+00 7.456628783013631301e-01 4.020556194594095967e-01 3.436072588419535334e-01
1.680000000000001936e+00 7.434757220214879281e-01 4.038097799287458378e-01 3.396659420927421458e-01
1.700000000000001954e+00 7.366336713094864264e-01 4.027423744799095706e-01 3.338912968295765782e-01
1.720000000000001972e+00 7.245278815778608550e-01 3.985665261220754374e-01 3.259613554557855286e-01
1.740000000000001990e+00 7.073324559464119199e-01 3.913907153574817110e-01 3.159417405889305419e-01
