# freq_THz  G_total  G_Ga  G_S
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=4; block_duration_ps=16.38400000; df_THz=0.06103516; total_equals_sum_of_partials=True
4.0283203125e+00 1.7021673483e+00 1.0812614386e+00 6.2090590978e-01
4.0893554688e+00 1.6648172594e+00 1.0593978202e+00 6.0541943918e-01
4.1503906250e+00 1.6552347724e+00 1.0563455744e+00 5.9888919800e-01
4.2114257812e+00 1.6542384119e+00 1.0580227644e+00 5.9621564743e-01
4.2724609375e+00 1.5770497878e+00 1.0131356734e+00 5.6391411438e-01
4.3334960938e+00 1.5364362301e+00 9.9358622969e-01 5.4285000041e-01
4.3945312500e+00 1.4776191431e+00 9.6362028097e-01 5.1399886215e-01
4.4555664062e+00 1.4314916540e+00 9.4345538565e-01 4.8803626831e-01
4.5166015625e+00 1.4055677188e+00 9.3516027110e-01 4.7040744765e-01
4.5776367188e+00 1.4072769396e+00 9.4500114455e-01 4.6227579503e-01
4.6386718750e+00 1.4108591728e+00 9.5679023367e-01 4.5406893909e-01
4.6997070312e+00 1.4341155995e+00 9.7696347231e-01 4.5715212723e-01
4.7607421875e+00 1.4574686083e+00 9.9909766530e-01 4.5837094301e-01
4.8217773438e+00 1.4759017162e+00 1.0161724366e+00 4.5972927960e-01
4.8828125000e+00 1.5046359706e+00 1.0421960716e+00 4.6243989900e-01
4.9438476562e+00 1.5157436968e+00 1.0586740733e+00 4.5706962349e-01
5.0048828125e+00 1.4602367856e+00 1.0253415630e+00 4.3489522268e-01
5.0659179688e+00 1.3854688726e+00 9.8092221442e-01 4.0454665822e-01
5.1269531250e+00 1.3668629661e+00 9.7265249314e-01 3.9421047296e-01
5.1879882812e+00 1.2899813748e+00 9.2255891917e-01 3.6742245568e-01
5.2490234375e+00 1.1721303930e+00 8.4372565949e-01 3.2840473353e-01
5.3100585938e+00 1.0675841468e+00 7.7354022084e-01 2.9404392593e-01
5.3710937500e+00 9.8644466237e-01 7.1529708754e-01 2.7114757483e-01
5.4321289062e+00 9.0478770177e-01 6.5669762710e-01 2.4809007467e-01
5.4931640625e+00 7.7717628527e-01 5.6472397023e-01 2.1245231505e-01
5.5541992188e+00 6.4128129106e-01 4.6334897388e-01 1.7793231717e-01
5.6152343750e+00 5.1472620417e-01 3.6996436892e-01 1.4476183525e-01
5.6762695312e+00 4.1147588498e-01 2.9405769006e-01 1.1741819492e-01
5.7373046875e+00 3.1448279223e-01 2.2311341226e-01 9.1369379962e-02
5.7983398438e+00 2.3781222167e-01 1.6617026491e-01 7.1641956759e-02
5.8593750000e+00 1.9103190070e-01 1.3107392631e-01 5.9957974388e-02
5.9204101562e+00 1.5979721545e-01 1.0718751350e-01 5.2609701949e-02
5.9814453125e+00 1.3915904397e-01 9.1387096426e-02 4.7771947546e-02
6.0424804688e+00 1.2439868980e-01 7.9912178944e-02 4.4486510859e-02
6.1035156250e+00 1.1101250802e-01 6.9537424870e-02 4.1475083155e-02
6.1645507812e+00 1.0195982435e-01 6.2003167643e-02 3.9956656709e-02
6.2255859375e+00 9.5563381177e-02 5.6640320195e-02 3.8923060983e-02
6.2866210938e+00 9.0377209876e-02 5.2281284112e-02 3.8095925765e-02
6.3476562500e+00 8.5085330795e-02 4.7834346093e-02 3.7250984702e-02
6.4086914062e+00 8.0602804106e-02 4.4063266928e-02 3.6539537178e-02
6.4697265625e+00 7.7711483998e-02 4.1645906715e-02 3.6065577283e-02
6.5307617188e+00 7.4619428677e-02 3.8647224903e-02 3.5972203774e-02
6.5917968750e+00 7.2254963639e-02 3.6499763966e-02 3.5755199673e-02
6.6528320312e+00 7.0565994285e-02 3.4673608748e-02 3.5892385537e-02
6.7138671875e+00 6.9064367248e-02 3.2929085498e-02 3.6135281750e-02
6.7749023438e+00 6.8755179271e-02 3.1936790344e-02 3.6818388927e-02
6.8359375000e+00 6.8145184426e-02 3.0853562952e-02 3.7291621474e-02
6.8969726562e+00 6.7921474089e-02 2.9821197690e-02 3.8100276399e-02
6.9580078125e+00 6.8198776749e-02 2.9004493382e-02 3.9194283367e-02
7.0190429688e+00 6.7965969328e-02 2.8188731309e-02 3.9777238019e-02
7.0800781250e+00 6.9485780753e-02 2.8125871888e-02 4.1359908866e-02
7.1411132812e+00 6.9828287193e-02 2.7437634980e-02 4.2390652214e-02
7.2021484375e+00 7.0492485603e-02 2.6705609651e-02 4.3786875951e-02
7.2631835938e+00 7.1652826325e-02 2.6632896172e-02 4.5019930153e-02
7.3242187500e+00 7.3728839396e-02 2.6694839925e-02 4.7033999470e-02
7.3852539062e+00 7.6308720584e-02 2.6907223459e-02 4.9401497125e-02
7.4462890625e+00 7.9352889471e-02 2.7410326706e-02 5.1942562766e-02
7.5073242188e+00 8.3962495525e-02 2.8216251451e-02 5.5746244074e-02
7.5683593750e+00 8.8824592800e-02 2.9363097180e-02 5.9461495619e-02
7.6293945312e+00 9.5648758634e-02 3.1027321283e-02 6.4621437351e-02
7.6904296875e+00 1.0293491417e-01 3.2564353905e-02 7.0370560268e-02
7.7514648438e+00 1.1072405409e-01 3.4683773558e-02 7.6040280533e-02
7.8125000000e+00 1.2110781667e-01 3.7599951645e-02 8.3507865024e-02
7.8735351562e+00 1.3270392411e-01 4.1215147615e-02 9.1488776499e-02
7.9345703125e+00 1.4947804702e-01 4.6320188075e-02 1.0315785894e-01
7.9956054688e+00 1.6947286862e-01 5.2589990497e-02 1.1688287812e-01
8.0566406250e+00 1.9381362808e-01 6.0513909746e-02 1.3329971833e-01
8.1176757812e+00 2.2799221705e-01 7.1609958179e-02 1.5638225887e-01
8.1787109375e+00 2.7537940924e-01 8.7602114401e-02 1.8777729484e-01
8.2397460938e+00 3.4176417509e-01 1.1057488256e-01 2.3118929253e-01
8.3007812500e+00 4.3922114134e-01 1.4514511439e-01 2.9407602695e-01
8.3618164062e+00 6.0067967786e-01 2.0263106507e-01 3.9804861279e-01
8.4228515625e+00 8.3238798922e-01 2.8784770719e-01 5.4454028202e-01
8.4838867188e+00 1.1978355633e+00 4.2286270200e-01 7.7497286133e-01
8.5449218750e+00 1.6454456684e+00 5.9104086792e-01 1.0544048005e+00
8.6059570312e+00 2.0853757049e+00 7.5821183456e-01 1.3271638703e+00
8.6669921875e+00 2.3561167571e+00 8.6860226303e-01 1.4875144941e+00
8.7280273438e+00 2.3456378932e+00 8.8083509110e-01 1.4648028021e+00
8.7890625000e+00 2.1811947701e+00 8.3062715966e-01 1.3505676104e+00
8.8500976562e+00 1.9103686917e+00 7.2842745463e-01 1.1819412371e+00
8.9111328125e+00 1.5972303265e+00 6.0113794887e-01 9.9609237763e-01
8.9721679688e+00 1.3495855557e+00 4.9349398169e-01 8.5609157406e-01
9.0332031250e+00 1.2098157924e+00 4.3215468192e-01 7.7766111053e-01
9.0942382812e+00 1.1604465438e+00 4.0680046997e-01 7.5364607380e-01
9.1552734375e+00 1.1152901852e+00 3.8479044532e-01 7.3049973985e-01
9.2163085938e+00 1.0921744628e+00 3.7273575165e-01 7.1943871112e-01
9.2773437500e+00 1.1148065675e+00 3.7729079925e-01 7.3751576820e-01
9.3383789062e+00 1.1570325592e+00 3.8966029289e-01 7.6737226636e-01
9.3994140625e+00 1.2098132484e+00 4.0873441903e-01 8.0107882932e-01
9.4604492188e+00 1.1922943480e+00 4.0668402762e-01 7.8561032040e-01
9.5214843750e+00 1.1344292741e+00 3.9161386200e-01 7.4281541214e-01
9.5825195312e+00 1.0460217364e+00 3.6198365974e-01 6.8403807665e-01
9.6435546875e+00 9.0666841766e-01 3.0897266140e-01 5.9769575626e-01
9.7045898438e+00 7.5413371965e-01 2.4806190950e-01 5.0607181015e-01
9.7656250000e+00 6.4087418730e-01 1.9670385274e-01 4.4417033457e-01
9.8266601562e+00 6.2266258423e-01 1.7675052830e-01 4.4591205593e-01
9.8876953125e+00 6.5869804905e-01 1.7470585559e-01 4.8399219346e-01
9.9487304688e+00 7.1407377210e-01 1.8163657877e-01 5.3243719333e-01
1.0009765625e+01 7.9273510035e-01 1.9690110927e-01 5.9583399108e-01
1.0070800781e+01 8.4295052497e-01 2.0665781867e-01 6.3629270630e-01
1.0131835938e+01 8.9709252735e-01 2.1976136032e-01 6.7733116703e-01
1.0192871094e+01 9.4216047510e-01 2.3261828435e-01 7.0954219075e-01
1.0253906250e+01 9.7726094484e-01 2.4473621950e-01 7.3252472533e-01
1.0314941406e+01 9.9316228893e-01 2.5130432941e-01 7.4185795952e-01
1.0375976562e+01 9.9841067450e-01 2.5514000877e-01 7.4327066573e-01
1.0437011719e+01 1.0196852664e+00 2.5972315302e-01 7.5996211339e-01
1.0498046875e+01 1.0620017947e+00 2.6848326878e-01 7.9351852591e-01
1.0559082031e+01 1.1205051166e+00 2.8380249197e-01 8.3670262461e-01
1.0620117188e+01 1.2642301060e+00 3.2070498448e-01 9.4352512149e-01
1.0681152344e+01 1.3936850867e+00 3.5532462066e-01 1.0383604660e+00
1.0742187500e+01 1.5694990601e+00 4.0434304127e-01 1.1651560189e+00
1.0803222656e+01 1.7453012968e+00 4.4888772933e-01 1.2964135674e+00
1.0864257812e+01 1.9334690903e+00 4.9425862739e-01 1.4392104629e+00
1.0925292969e+01 2.1161436125e+00 5.3561040634e-01 1.5805332062e+00
1.0986328125e+01 2.2923243077e+00 5.8055460679e-01 1.7117697009e+00
1.1047363281e+01 2.4313615786e+00 6.2325534705e-01 1.8081062316e+00
1.1108398438e+01 2.3925331160e+00 6.2386328928e-01 1.7686698268e+00
1.1169433594e+01 2.3778204292e+00 6.3366602093e-01 1.7441544082e+00
1.1230468750e+01 2.3683225746e+00 6.4544824734e-01 1.7228743273e+00
1.1291503906e+01 2.3127357491e+00 6.4313010112e-01 1.6696056480e+00
1.1352539062e+01 2.2355625179e+00 6.3400633744e-01 1.6015561805e+00
1.1413574219e+01 2.1782695922e+00 6.2823272115e-01 1.5500368710e+00
1.1474609375e+01 2.0725760362e+00 6.0814486171e-01 1.4644311745e+00
1.1535644531e+01 1.9118356797e+00 5.7071439281e-01 1.3411212869e+00
1.1596679688e+01 1.7740285631e+00 5.3891423822e-01 1.2351143249e+00
1.1657714844e+01 1.6817361928e+00 5.1930664495e-01 1.1624295478e+00
1.1718750000e+01 1.5004130849e+00 4.7073153304e-01 1.0296815519e+00
