# freq_THz  G_total_s  G_Ga_s  G_S_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.1; mass_weighted=True; primitive_atoms=4; total_equals_sum_of_partials=True
4.6386718750e+00 1.4264522420e+00 9.6471097536e-01 4.6174126663e-01
4.6997070312e+00 1.4392841184e+00 9.8018942643e-01 4.5909469199e-01
4.7607421875e+00 1.4564072564e+00 9.9800387504e-01 4.5840338138e-01
4.8217773438e+00 1.4719865402e+00 1.0146645868e+00 4.5732195349e-01
4.8828125000e+00 1.4784861974e+00 1.0253087018e+00 4.5317749556e-01
4.9438476562e+00 1.4685209576e+00 1.0247696202e+00 4.4375133740e-01
5.0048828125e+00 1.4392583340e+00 1.0107188811e+00 4.2853945289e-01
5.0659179688e+00 1.3931812740e+00 9.8444341725e-01 4.0873785679e-01
5.1269531250e+00 1.3328630960e+00 9.4738952245e-01 3.8547357358e-01
5.1879882812e+00 1.2584553031e+00 8.9945703751e-01 3.5899826555e-01
5.2490234375e+00 1.1718302980e+00 8.4178949687e-01 3.3004080110e-01
5.3100585938e+00 1.0780916627e+00 7.7773460928e-01 3.0035705338e-01
5.3710937500e+00 9.8035840225e-01 7.0929691758e-01 2.7106148466e-01
5.4321289062e+00 8.7679158138e-01 6.3520140667e-01 2.4159017471e-01
5.4931640625e+00 7.6521537538e-01 5.5415839859e-01 2.1105697679e-01
5.5541992188e+00 6.4858481169e-01 4.6869984445e-01 1.7988496724e-01
5.6152343750e+00 5.3429382766e-01 3.8461360225e-01 1.4968022541e-01
5.6762695312e+00 4.2976131719e-01 3.0759317286e-01 1.2216814432e-01
5.7373046875e+00 3.4002215504e-01 2.4137801669e-01 9.8644138355e-02
5.7983398438e+00 2.6780936367e-01 1.8790566712e-01 7.9903696551e-02
5.8593750000e+00 2.1351632048e-01 1.4744090162e-01 6.6075418857e-02
5.9204101562e+00 1.7493762465e-01 1.1842421471e-01 5.6513409941e-02
