section,material,condition,series,value,unit
shorter_lengths,InSe,43.07447742367073,finite_length,2.070000000000002,W/mK
shorter_lengths,InSe,68.32991480996041,finite_length,2.473000000000004,W/mK
shorter_lengths,InSe,96.50671953581409,finite_length,2.6260000000000057,W/mK
shorter_lengths,InSe,135.08963495013896,finite_length,2.7030000000000043,W/mK
shorter_lengths,InSe,181.15389971337316,finite_length,3.101000000000007,W/mK
shorter_lengths,InSe,k_inf,fit,3.3014083481117145,W/mK
shorter_lengths,InSe,lambda_eff,fit,23.57029641112526,nm
shorter_lengths,InSe,R2,fit,0.9698100727711947,dimensionless
primary_rounded_lengths,GaS,26.019331812200043,finite_length,6.176000000000033,W/mK
primary_rounded_lengths,GaS,50.76130528379021,finite_length,8.370000000000008,W/mK
primary_rounded_lengths,GaS,75.47924675538027,finite_length,9.607000000000081,W/mK
primary_rounded_lengths,GaS,100.19365622697009,finite_length,10.36400000000001,W/mK
primary_rounded_lengths,GaS,150.9506095107602,finite_length,11.882000000000012,W/mK
primary_rounded_lengths,GaS,200.37279245394004,finite_length,12.694,W/mK
primary_rounded_lengths,GaS,k_inf,fit,14.356819989204999,W/mK
primary_rounded_lengths,GaS,lambda_eff,fit,35.049601324283984,nm
primary_rounded_lengths,GaS,R2,fit,0.9939144485009748,dimensionless
primary_rounded_lengths,GaSe,25.057979801154907,finite_length,4.5630000000000095,W/mK
primary_rounded_lengths,GaSe,50.12545960230977,finite_length,5.577000000000028,W/mK
primary_rounded_lengths,GaSe,75.16171440346483,finite_length,6.775000000000007,W/mK
primary_rounded_lengths,GaSe,100.17985920461943,finite_length,7.914000000000011,W/mK
primary_rounded_lengths,GaSe,150.2842788069292,finite_length,8.78700000000004,W/mK
primary_rounded_lengths,GaSe,200.3412184092389,finite_length,9.225000000000009,W/mK
primary_rounded_lengths,GaSe,k_inf,fit,10.20236652201874,W/mK
primary_rounded_lengths,GaSe,lambda_eff,fit,32.99217696452444,nm
primary_rounded_lengths,GaSe,R2,fit,0.9492899643804146,dimensionless
primary_rounded_lengths,InSe,25.25638080115491,finite_length,1.8480000000000003,W/mK
primary_rounded_lengths,InSe,50.50978460230975,finite_length,2.223,W/mK
primary_rounded_lengths,InSe,75.7519654034649,finite_length,2.5610000000000053,W/mK
primary_rounded_lengths,InSe,100.99739920461947,finite_length,2.578000000000005,W/mK
primary_rounded_lengths,InSe,149.87765880692922,finite_length,3.0090000000000052,W/mK
primary_rounded_lengths,InSe,201.91489840923884,finite_length,3.185000000000001,W/mK
primary_rounded_lengths,InSe,k_inf,fit,3.294095452879805,W/mK
primary_rounded_lengths,InSe,lambda_eff,fit,20.796746855681846,nm
primary_rounded_lengths,InSe,R2,fit,0.9505606757219457,dimensionless
