# frequency_THz total_states_per_THz_per_atom Ga_contribution S_contribution
6.600000000000010303e-01 6.908809869145030036e-02 4.833598577561782489e-02 2.075211291583244425e-02
6.800000000000010481e-01 7.050962633718441119e-02 4.937895353353667638e-02 2.113067280364772788e-02
7.000000000000010658e-01 7.195955034649624549e-02 5.044408115082150978e-02 2.151546919567471489e-02
7.200000000000010836e-01 7.344381226510582339e-02 5.153550216485885960e-02 2.190831010024697420e-02
7.400000000000011013e-01 7.496814709103466479e-02 5.265721597699746931e-02 2.231093111403718160e-02
7.600000000000011191e-01 7.653552926710217863e-02 5.381133060933419865e-02 2.272419865776802855e-02
7.800000000000011369e-01 7.814259120326422225e-02 5.499560201959637074e-02 2.314698918366784458e-02
8.000000000000011546e-01 7.977686290438895655e-02 5.620153968721176840e-02 2.357532321717724713e-02
8.200000000000011724e-01 8.141661177997511212e-02 5.741429903376231436e-02 2.400231274621286021e-02
8.400000000000011902e-01 8.303413368156070673e-02 5.861494312113910837e-02 2.441919056042159489e-02
8.600000000000012079e-01 8.460195379415574868e-02 5.978470030053931877e-02 2.481725349361644031e-02
8.800000000000012257e-01 8.610014209601307700e-02 6.090998490942471644e-02 2.519015718658839526e-02
9.000000000000012434e-01 8.752236383416382715e-02 6.198654842612682375e-02 2.553581540803703809e-02
9.200000000000012612e-01 8.887860251226438468e-02 6.302134659906634406e-02 2.585725591319800939e-02
9.400000000000012790e-01 9.019356912678548610e-02 6.403144605146496304e-02 2.616212307532055081e-02
9.600000000000012967e-01 9.150122196122514873e-02 6.504026092693331040e-02 2.646096103429182445e-02
9.800000000000013145e-01 9.283704881951290733e-02 6.607225257650986561e-02 2.676479624300307641e-02
1.000000000000001332e+00 9.423039398134042122e-02 6.714765946567544108e-02 2.708273451566501136e-02
1.020000000000001350e+00 9.569896491386026272e-02 6.827872556966027573e-02 2.742023934420000086e-02
1.040000000000001368e+00 9.724682066198010733e-02 6.946832444038256171e-02 2.777849622159756643e-02
1.060000000000001386e+00 9.886594204221685334e-02 7.071104902077834931e-02 2.815489302143851444e-02
1.080000000000001403e+00 1.005403445162538906e-01 7.199605073129905497e-02 2.854429378495484254e-02
1.100000000000001421e+00 1.022510159708575200e-01 7.331044141158947480e-02 2.894057455926807645e-02
1.120000000000001439e+00 1.039799658663310561e-01 7.464207424258728629e-02 2.933789162374376633e-02
1.140000000000001457e+00 1.057123191598415279e-01 7.598096847033264378e-02 2.973135068950888416e-02
1.160000000000001474e+00 1.074363873218476678e-01 7.731933591572809350e-02 3.011705140611956044e-02
1.180000000000001492e+00 1.091425746097589300e-01 7.865080872749723173e-02 3.049176588226169826e-02
1.200000000000001510e+00 1.108224469616354013e-01 7.996979049925970195e-02 3.085265646237567855e-02
1.220000000000001528e+00 1.124691186079039146e-01 8.127172924279194022e-02 3.119738936511196742e-02
1.240000000000001545e+00 1.140793810440020178e-01 8.255460093336833283e-02 3.152478011063362950e-02
1.260000000000001563e+00 1.156570190089580702e-01 8.382121276859851033e-02 3.183580624035952517e-02
1.280000000000001581e+00 1.172159368652378048e-01 8.508136916707809139e-02 3.213456769815979663e-02
