# q_distance branch_1_THz branch_2_THz branch_3_THz branch_4_THz branch_5_THz branch_6_THz branch_7_THz branch_8_THz branch_9_THz branch_10_THz branch_11_THz branch_12_THz
4.065076708765125169e-02 5.406722759911373188e-01 1.183519830098285430e+00 2.025190529423581243e+00 2.070162055990361072e+00 2.830781089965799691e+00 2.999989557132384910e+00 7.733202054192123143e+00 8.510753821019497067e+00 1.125911183214757649e+01 1.131236278287389929e+01 1.177068942332870805e+01 1.184787521385758247e+01
4.215635105386055653e-02 5.688776050303180343e-01 1.225439001448269005e+00 2.094532858409971166e+00 2.094910014811406374e+00 2.894264674606672028e+00 2.994944055333868871e+00 7.729005626347662528e+00 8.501587355323787065e+00 1.124707443087278058e+01 1.130469834976539012e+01 1.175712348440377752e+01 1.184046893737398953e+01
4.366193502006985444e-02 5.973063248974684880e-01 1.267142519446569970e+00 2.120079073520943602e+00 2.163083142979304707e+00 2.958057708137617592e+00 2.990041195804100660e+00 7.724818397208779608e+00 8.492243012607533004e+00 1.123460634688849957e+01 1.129681301540034966e+01 1.174307299425876394e+01 1.183285030299730600e+01
4.516751898627915929e-02 6.259484158621108074e-01 1.308621654615373275e+00 2.145635747167381258e+00 2.230746101762879352e+00 2.985364130186377363e+00 3.022084744901128772e+00 7.720658613768478951e+00 8.482739218784447033e+00 1.122170875070306018e+01 1.128871296531946911e+01 1.172853923156523415e+01 1.182502538645876200e+01
4.667310295248846413e-02 6.547948456785150917e-01 1.349867571760995144e+00 2.171547229053996553e+00 2.297398126501692062e+00 2.981024094583703654e+00 3.086273922239337164e+00 7.716545283460419569e+00 8.473095360055843628e+00 1.120838293078221604e+01 1.128040459848099353e+01 1.171352358404260308e+01 1.181700046967620210e+01
4.817868691869776898e-02 6.838373128822428093e-01 1.390871328133408857e+00 2.197781406261700710e+00 2.362873139381584053e+00 2.977174522106905918e+00 3.150556560749185664e+00 7.712498174470216128e+00 8.463331814272157416e+00 1.119463030258042835e+01 1.127189452631836630e+01 1.169802755629201130e+01 1.180878203947285066e+01
4.968427088490707383e-02 7.130680260983633945e-01 1.431623871702621953e+00 2.224306868144452221e+00 2.426939699407550499e+00 2.974033907870309523e+00 3.214866797200636839e+00 7.708537813187060550e+00 8.453469982464069332e+00 1.118045241810738766e+01 1.126318957166113854e+01 1.168205277814088916e+01 1.180037678615166641e+01
5.118985485111637868e-02 7.424795147334776191e-01 1.472116039577152424e+00 2.251092908733352882e+00 2.489263321243037286e+00 2.971923463436171087e+00 3.279141247867253917e+00 7.704685478309483138e+00 8.443532320231637911e+00 1.116585097606536436e+01 1.125429676750706598e+01 1.166560101353454826e+01 1.179179160191390885e+01
5.269543881732568352e-02 7.720644668704390590e-01 1.512338556587599525e+00 2.278109523922919433e+00 2.549344340472534665e+00 2.971329227223177050e+00 3.343318700116796993e+00 7.700963191071668490e+00 8.433542368614972418e+00 1.115082783259641452e+01 1.124522335563248809e+01 1.164867417001504002e+01 1.178303357910993299e+01
5.420102278353498143e-02 8.018155906385541210e-01 1.552282034056813309e+00 2.305327404246110490e+00 2.606418966517947133e+00 2.973000990171687175e+00 3.407339830275064152e+00 7.697393701008394373e+00 8.423524783995466336e+00 1.113538501268264369e+01 1.123597678502747677e+01 1.163127430883168856e+01 1.177411000830978516e+01
5.570660674974428628e-02 8.317254957670697779e-01 1.591936968776917816e+00 2.332717923975696994e+00 2.659321409654237467e+00 2.978090150792065849e+00 3.471146945986438581e+00 7.694000466628351020e+00 8.413505366491204285e+00 1.111952472224739985e+01 1.122656471014165369e+01 1.161340365573239630e+01 1.176502837618064667e+01
5.721219071595359112e-02 8.617865924369415564e-01 1.631293742213004050e+00 2.360253127221040081e+00 2.706369652740137077e+00 2.988263929601135516e+00 3.534683751534557494e+00 7.690807630318190036e+00 8.403511086214351167e+00 1.110324936101005910e+01 1.121699498892580671e+01 1.159506461249013753e+01 1.175579636315762144e+01
5.871777468216289597e-02 8.919910049176335010e-01 1.670342619952703611e+00 2.387905711622120730e+00 2.745520540470830717e+00 3.005550270806548685e+00 3.597895134844903975e+00 7.687839986754909205e+00 8.393570106649207219e+00 1.108656153615299544e+01 1.120727568065410118e+01 1.157625976922485656e+01 1.174642184089395336e+01
6.022335864837220082e-02 9.223304978096872331e-01 1.709073751420977505e+00 2.415649010178490208e+00 2.775166191969686835e+00 3.031541426130802463e+00 3.660726975162003072e+00 7.685122944063936146e+00 8.383711804289667668e+00 1.106946407686508316e+01 1.119741504351069494e+01 1.155699191758760058e+01 1.173691286947620682e+01
6.172894261458150567e-02 9.527964130108578233e-01 1.747477169879103176e+00 2.443456971690090462e+00 2.795259556419305014e+00 3.066268401818514455e+00 3.723125970671054663e+00 7.682682476926131265e+00 8.373966783541131775e+00 1.105196004983324798e+01 1.118742153192430244e+01 1.153726406488109646e+01 1.172727769438960799e+01
6.323452658079080357e-02 9.833796157860164033e-01 1.785542792727169870e+00 2.471304140230204283e+00 2.807430464467037812e+00 3.108084916862064784e+00 3.785039485615558252e+00 7.680545070812263120e+00 8.364366885746807867e+00 1.103405277576085552e+01 1.117730379363352355e+01 1.151707944919908400e+01 1.171752474321825410e+01
6.474011054700011536e-02 1.014070448550353332e+00 1.823260422129514335e+00 2.499165634018884141e+00 2.813902139586831108e+00 3.154750909048245955e+00 3.846415416744082716e+00 7.678737656510111087e+00 8.354945191041862174e+00 1.101574584700036930e+01 1.116707066646523927e+01 1.149644155567615122e+01 1.170766262206457320e+01
6.624569451320942715e-02 1.044858691176267396e+00 1.860619745982554418e+00 2.527017124017124861e+00 2.816560310417325574e+00 3.204363448588744223e+00 3.907202079199340705e+00 7.677287534111154166e+00 8.345736011572942203e+00 1.099704314639665270e+01 1.115673117480795362e+01 1.147535413394996517e+01 1.169770011167207002e+01
6.775127847941873893e-02 1.075733526808824836e+00 1.897610339244867328e+00 2.554834812519181320e+00 2.816718958210226997e+00 3.255591025963644913e+00 3.967348112237323310e+00 7.676222285643827803e+00 8.336774874448055428e+00 1.097794886744780385e+01 1.114629452576148338e+01 1.145382121694956190e+01 1.168764616323518979e+01
6.925686244562805072e-02 1.106683512326729790e+00 1.934221665649444200e+00 2.582595411981269073e+00 2.815230932046205670e+00 3.307562982040542554e+00 4.026802405429716458e+00 7.675569675581897400e+00 8.328098492606429204e+00 1.095846753590164191e+01 1.113577010494398500e+01 1.143184714113646372e+01 1.167750989387985605e+01
7.076244641183736250e-02 1.137696552717806897e+00 1.970443079818185117e+00 2.610276124290236588e+00 2.812644085346701406e+00 3.359713427591763946e+00 4.085514046252948894e+00 7.675357538523740253e+00 8.319744721625529138e+00 1.093860403291850325e+01 1.112516747193711453e+01 1.140943656834003583e+01 1.166730058179817497e+01
7.226803037804666041e-02 1.168759878753532488e+00 2.006263829798724085e+00 2.637854620644767945e+00 2.809316284916786977e+00 3.411666301525772660e+00 4.143432290196642498e+00 7.675613653434033345e+00 8.311752500319508741e+00 1.091836361994499072e+01 1.111449635534977709e+01 1.138659450934505735e+01 1.165702766102070598e+01
7.377361434425597220e-02 1.199860027447571253e+00 2.041673060043967425e+00 2.665309022194490396e+00 2.805487801621203037e+00 3.463163059149643175e+00 4.200506554722436725e+00 7.676365603966767814e+00 8.304161772839702138e+00 1.089775196545862457e+01 1.110376664748088515e+01 1.136332634940830388e+01 1.164670071580975730e+01
7.527919831046528398e-02 1.230982824872010939e+00 2.076659814854268316e+00 2.692617881558139636e+00 2.801324967111391562e+00 3.514019106294469452e+00 4.256686438561621877e+00 7.677640624550176263e+00 8.297013389873631795e+00 1.087677517376040015e+01 1.109298839856145591e+01 1.133963787590185035e+01 1.163632947465735867e+01
7.678478227667459577e-02 1.262113370983231730e+00 2.111213042302288123e+00 2.719760165320864065e+00 2.796946474213915401e+00 3.564097601737336696e+00 4.311921767943249328e+00 7.679465432111096668e+00 8.290348986468572434e+00 1.085543981601085228e+01 1.108217181055652389e+01 1.131553530830464105e+01 1.162592380387173563e+01
7.829036624288390755e-02 1.293236026178806064e+00 2.145321598660156592e+00 2.746715237592382231e+00 2.792439470369056487e+00 3.613293478330377173e+00 4.366162671378154059e+00 7.681866043548607692e+00 8.284210833992963430e+00 1.083375296372613583e+01 1.107132723050760958e+01 1.129102533079069026e+01 1.161549370073660015e+01
7.979595020909321934e-02 1.324334399369595738e+00 2.178974253348176848e+00 2.773462844691472640e+00 2.787869623378029349e+00 3.661523503097033228e+00 4.419359684572517821e+00 7.684867579333013232e+00 8.278641663811805884e+00 1.081172222497304070e+01 1.106046514339672271e+01 1.126611512769254020e+01 1.160504928622798637e+01
8.130153417530253113e-02 1.355391337408267338e+00 2.212159694423680545e+00 2.783287567401493412e+00 2.799983101008451047e+00 3.708719967557292829e+00 4.471463886888732198e+00 7.688494053902766190e+00 8.273684460408178509e+00 1.078935578352714764e+01 1.104959616451364468e+01 1.124081242215276966e+01 1.159460079727418069e+01
8.280711814151184291e-02 1.386388915767258645e+00 2.244866534627895760e+00 2.778733127822923699e+00 2.826256476084937574e+00 3.754826608530728027e+00 4.522427070493392876e+00 7.692768153851814894e+00 8.269382221949273415e+00 1.076666244128508865e+01 1.103873103130869460e+01 1.121512551831492921e+01 1.158415857854485864e+01
8.431270210772115470e-02 1.417308430408881215e+00 2.277083318007777191e+00 2.774238151667142827e+00 2.852263782939764791e+00 3.799795931228806545e+00 4.572201942915743444e+00 7.697711005236494763e+00 8.265777686690993775e+00 1.074365166425227791e+01 1.102788059471437698e+01 1.118906334744894693e+01 1.157373307375689109e+01
8.581828607393046648e-02 1.448130390835484338e+00 2.308798527128627764e+00 2.769828442682626957e+00 2.877986167660625760e+00 3.843587433659643615e+00 4.620742363169859424e+00 7.703341931671096710e+00 8.262913024150885022e+00 1.072033363245890492e+01 1.101705580992016209e+01 1.116263551845494462e+01 1.156333481648515082e+01
8.732387004013975051e-02 1.478834514352195040e+00 2.340000590891799348e+00 2.765525109202296328e+00 2.903405100272788086e+00 3.886166421998047849e+00 4.668003610861911845e+00 7.709678205213134738e+00 8.260829490666864672e+00 1.069671929419233969e+01 1.100626772658611152e+01 1.113585237324492461e+01 1.155297442046815704e+01
8.882945400634906230e-02 1.509399721617430634e+00 2.370677892970513678e+00 2.761345519227579981e+00 2.928502366889521369e+00 3.927503219899245224e+00 4.713942686807973459e+00 7.716734792346023220e+00 8.259567049797835736e+00 1.067282042497076944e+01 1.099552747848268908e+01 1.110872504756397916e+01 1.154266256939993163e+01
9.033503797255837409e-02 1.539804133598063673e+00 2.400818780874678815e+00 2.757303988076596379e+00 2.953260063142112646e+00 3.967572643532545129e+00 4.758518642636629714e+00 7.724524097632419206e+00 8.259163959004480304e+00 1.064864969172232811e+01 1.098484627254577717e+01 1.108126553788260615e+01 1.153241000620121781e+01
9.184062193876768587e-02 1.570025070087444963e+00 2.430411575653652179e+00 2.753412281035032105e+00 2.977660588882069082e+00 4.006353656762519755e+00 4.801692935664444661e+00 7.733055707817234392e+00 8.259656325152171519e+00 1.062422072267491302e+01 1.097423537733798504e+01 1.105348677506993305e+01 1.152222752176518128e+01
9.334620590497699766e-02 1.600039049985802375e+00 2.459444582243639932e+00 2.749679986270308518e+00 3.001686644142897986e+00 4.043829147906592425e+00 4.843429804047492127e+00 7.742336139289070829e+00 8.261077632567896956e+00 1.059954818350392003e+01 1.096370611090983083e+01 1.102540270564504610e+01 1.151212594317487437e+01
9.485178987118630944e-02 1.629821793583091871e+00 2.487906100463594949e+00 2.746114795718106016e+00 3.025321226344135361e+00 4.079985786961823457e+00 4.883696655878142501e+00 7.752368591846367174e+00 8.263458248608158030e+00 1.057464786032703152e+01 1.095326982805675975e+01 1.099702838150060913e+01 1.150211612139221984e+01
9.635737383739562123e-02 1.659348227125421849e+00 2.515784436660859491e+00 2.742722720108171419e+00 3.048547628716154367e+00 4.114813933752592412e+00 4.922464464580631471e+00 7.763152711648495519e+00 8.266824912888846910e+00 1.054953675017586967e+01 1.094293790697097002e+01 1.096838005909997804e+01 1.149220891842090175e+01
9.786295780360493302e-02 1.688592489986581624e+00 2.543067916004339235e+00 2.739508256573949474e+00 3.071349439919969448e+00 4.148307575302247585e+00 4.959708161739298404e+00 7.774684366054839479e+00 8.271200217412618017e+00 1.052423315961092065e+01 1.093272173529010338e+01 1.093947530926625333e+01 1.148241519394832189e+01
9.936854176981424480e-02 1.717527944806410245e+00 2.569744895419948882e+00 2.736474522039679780e+00 3.093710544832599219e+00 4.180464276229844955e+00 4.995407017459928767e+00 7.786955432764906426e+00 8.276602085716582735e+00 1.049875681217646317e+01 1.091033313880856603e+01 1.092263269554835325e+01 1.147274579147499551e+01
1.008741257360235566e-01 1.746127190996278999e+00 2.595803777158927073e+00 2.733623361951333042e+00 3.115615126464529094e+00 4.211285129962538676e+00 5.029544997607011680e+00 7.799953605276376933e+00 8.283043259764347965e+00 1.047312896541150806e+01 1.088097412536643205e+01 1.091268215003908360e+01 1.146321152394285825e+01
1.023797097022328684e-01 1.774362082049780742e+00 2.621233022986037664e+00 2.730955441375176207e+00 3.137047668972331671e+00 4.240774701566853544e+00 5.062111086865410670e+00 7.813662216188888010e+00 8.290530803537565774e+00 1.044737253813609179e+01 1.085142056699460866e+01 1.090288142510213554e+01 1.145382315887763269e+01
1.038852936684421802e-01 1.802203747131131184e+00 2.646021168970356552e+00 2.728470323678380272e+00 3.157992961725802239e+00 4.268940955374184831e+00 5.093099566616473339e+00 7.828060079321801368e+00 8.299065632076581878e+00 1.042151224871190252e+01 1.082169664815493704e+01 1.089324179485321409e+01 1.144459140306385692e+01
1.053908776346514919e-01 1.829622617445241906e+00 2.670156840856764635e+00 2.726166540699920038e+00 3.178436104385193861e+00 4.295795162516472310e+00 5.122510237144707546e+00 7.843121351014790577e+00 8.308642074035159197e+00 1.039557476492298882e+01 1.079182862392138986e+01 1.088377446437700335e+01 1.143552688677510965e+01
1.068964616008607760e-01 1.856588457919718493e+00 2.693628769991835981e+00 2.724041657362929580e+00 3.198362512940795099e+00 4.321351785126465117e+00 5.150348574720569950e+00 7.858815410378550581e+00 8.319247474643370666e+00 1.036958886602351804e+01 1.076184502433091161e+01 1.087449055241041052e+01 1.142664014758594071e+01
1.084020455670700878e-01 1.883070404749128235e+00 2.716425809772996747e+00 2.722092332967587236e+00 3.217757926663218804e+00 4.345628335368224349e+00 5.176625815619281035e+00 7.875106757704641858e+00 8.330861844350515355e+00 1.034358561733936455e+01 1.073177688091093351e+01 1.086540107354715090e+01 1.141794161379594641e+01
1.099076295332793995e-01 1.909037009363765636e+00 2.720314380864760295e+00 2.738536952584734063e+00 3.236608415909455250e+00 4.368645208688497483e+00 5.201358961076818055e+00 7.891954929779029904e+00 8.343457556425224908e+00 1.031759855756846100e+01 1.070165797746459369e+01 1.085651691999974311e+01 1.140944158750083837e+01
1.114132134994887113e-01 1.934456289387035399e+00 2.718702827796486421e+00 2.759951347180709558e+00 3.254900390725917525e+00 4.390425491738947805e+00 5.224570699459325951e+00 7.909314430528343820e+00 8.356999094548596574e+00 1.029166389857599029e+01 1.067152512716755552e+01 1.084784884296009544e+01 1.140115022734917538e+01
1.129187974656980231e-01 1.959295787135321598e+00 2.717251973864279524e+00 2.780658316465532742e+00 3.272620610186337320e+00 4.410994746319406801e+00 5.246289244406855623e+00 7.927134675319773116e+00 8.371442849113071460e+00 1.026582073699334607e+01 1.064141847788589423e+01 1.083940743360490799e+01 1.139307753102815113e+01
1.144243814319073349e-01 1.983522636189328336e+00 2.715955453826686128e+00 2.800647375624787827e+00 3.289756192398979096e+00 4.430380771436562171e+00 5.266548090264071114e+00 7.945359947395706612e+00 8.386736958736637604e+00 1.024011127626656403e+01 1.061138184730739553e+01 1.083120310379725559e+01 1.138523331752540457e+01
1.159299653981166467e-01 2.007103636524683488e+00 2.714806300215501622e+00 2.819908250546863560e+00 3.306294625114108321e+00 4.448613346159754123e+00 5.285385688580690910e+00 7.963929365413615180e+00 8.402821191642683374e+00 1.021458105691667129e+01 1.058146308891505072e+01 1.082324606654083432e+01 1.137762720921863036e+01
