# q_distance branch_1_THz branch_2_THz branch_3_THz branch_4_THz branch_5_THz branch_6_THz branch_7_THz branch_8_THz branch_9_THz branch_10_THz branch_11_THz branch_12_THz
1.553969570082805451e-02 1.118748648150736935e-01 3.672409833315076755e-01 6.210142358653527594e-01 1.232110901454444241e+00 1.370280957753661211e+00 3.183330354991258826e+00 6.277615749530620626e+00 6.287527479636893624e+00 7.942066269397827227e+00 7.945456067582888693e+00 8.735217577225423469e+00 8.743656195149792865e+00
1.695239530999424066e-02 1.303289343473384154e-01 4.004038650128495247e-01 6.764715811355560549e-01 1.241205355024801671e+00 1.402107169905090878e+00 3.181873847499665953e+00 6.273621948354307420e+00 6.284759448218760980e+00 7.938513907470829523e+00 7.942580395503596513e+00 8.731146494510298339e+00 8.741212657952512899e+00
1.836509491916043027e-02 1.496058211920137659e-01 4.335081836213341977e-01 7.316560458161885938e-01 1.250989507779007637e+00 1.435624448490841143e+00 3.180358540238983789e+00 6.269305926576362431e+00 6.281766448926574320e+00 7.934649407761209972e+00 7.939463080087678648e+00 8.726720915720939331e+00 8.738564611393856651e+00
1.977779452832661988e-02 1.696081398521752936e-01 4.665488604345922607e-01 7.865394610178199075e-01 1.261440800427695130e+00 1.470673629434955609e+00 3.178802694842964183e+00 6.264674096556061222e+00 6.278552418611033303e+00 7.930472001082001121e+00 7.936106229882363472e+00 8.721940746882063777e+00 8.735714046882659289e+00
2.119049413749280256e-02 1.902499956010535176e-01 4.995207693015514816e-01 8.410922075022814193e-01 1.272535813507240432e+00 1.507105904290571008e+00 3.177226578703844506e+00 6.259733442914278356e+00 6.275121611198939853e+00 7.925980872456514170e+00 7.932512123973910256e+00 8.716805897795543601e+00 8.732663114424742190e+00
2.260319374665899217e-02 2.114564040294235059e-01 5.324187330799855511e-01 8.952830470462317392e-01 1.284250419392331199e+00 1.544782712626034504e+00 3.175652603274373043e+00 6.254491536707626587e+00 6.271478598418570805e+00 7.921175164620196441e+00 7.928683212386348877e+00 8.711316284648351171e+00 8.729414122421873756e+00
2.401589335582518178e-02 2.331624799904850887e-01 5.652375200959764978e-01 9.490789415536434737e-01 1.296559927570569704e+00 1.583575349813840072e+00 3.174105476242865986e+00 6.248956550815001343e+00 6.267628270664323153e+00 7.916053981736363099e+00 7.924622116498196256e+00 8.705471832816060740e+00 8.725969537442301416e+00
2.542859296499136446e-02 2.553125052573195219e-01 5.979718406280913889e-01 1.002444859685132528e+00 1.309439221715865020e+00 1.623364397905710854e+00 3.172612367611415074e+00 6.243137276559081350e+00 6.263575838018420328e+00 7.910616393318012030e+00 7.920331629474583579e+00 8.699272479863491725e+00 8.722331983959792368e+00
2.684129257415755407e-02 2.778589538191960084e-01 6.306163434197772366e-01 1.055343571214066634e+00 1.322862887443945201e+00 1.664039058983796338e+00 3.171203089282286669e+00 6.237043141581914973e+00 6.259326831448415618e+00 7.904861438347346336e+00 7.915814716711623511e+00 8.692718178744366142e+00 8.718504244057932340e+00
2.825399218332374368e-02 3.007615288095712436e-01 6.631656122229061534e-01 1.107735429940478022e+00 1.336805329963182576e+00 1.705496447033164609e+00 3.169910287150701222e+00 6.230684228988401685e+00 6.254887104200312464e+00 7.898788129585152973e+00 7.911074516289774650e+00 8.685808901202417331e+00 8.714489257096065700e+00
2.966669179248992635e-02 3.239862457165808007e-01 6.956141623763112403e-01 1.159578146848331714e+00 1.351240881138948469e+00 1.747640876184344050e+00 3.168769643861396368e+00 6.224071297764608879e+00 6.250262833408132046e+00 7.892395458061918667e+00 7.906114339432453342e+00 8.678544641377071045e+00 8.710290119333173209e+00
3.107939140165611597e-02 3.475045821853575134e-01 7.279564374231800583e-01 1.210826556338407300e+00 1.366143895762522265e+00 1.790383169601202029e+00 3.167820089250430016e+00 6.217215804468628093e+00 6.245460521941622822e+00 7.885682397743144278e+00 7.900937670965993753e+00 8.670925419617292462e+00 8.705910083505481012e+00
3.249209101082230211e-02 3.712927045138065263e-01 7.601868057718825789e-01 1.261432379880873755e+00 1.381488837052389229e+00 1.833640003531034068e+00 3.167104013992615208e+00 6.210129926180010251e+00 6.240487000514750804e+00 7.878647910361336493e+00 7.895548169776414937e+00 8.662951286508210558e+00 8.701352558353510958e+00
3.390479061998848825e-02 3.953307739666374054e-01 7.922995574047135836e-01 1.311343993381002049e+00 1.397250351614326425e+00 1.877333294251078533e+00 3.166667480033734439e+00 6.202826584679070443e+00 6.235349430078407806e+00 7.871290950407754394e+00 7.889949669258329301e+00 8.654622327115736979e+00 8.696621108093831154e+00
3.531749022915467440e-02 4.196023314815494620e-01 8.242889006397789986e-01 1.360506207014862801e+00 1.413403334248363397e+00 1.921389631092137007e+00 3.166560418931385179e+00 6.195319471809401790e+00 6.230055304521672888e+00 7.863610470277348163e+00 7.884146177750696260e+00 8.645938665455583205e+00 8.691719451830618226e+00
3.673018983832086054e-02 4.440937565494779138e-01 8.561489589517633503e-01 1.408860069327695808e+00 1.429922983116064916e+00 1.965739755781489517e+00 3.166836806199046173e+00 6.187623075954434171e+00 6.224612453706457771e+00 7.855605425561008381e+00 7.878141878953768718e+00 8.636900469194067398e+00 8.686651462901689769e+00
3.814288944748704668e-02 4.687937944966821813e-01 8.878737678575200354e-01 1.446784845873791303e+00 1.456342711025406578e+00 2.010318086548938066e+00 3.167554796115851445e+00 6.179752709532354338e+00 6.219029046861154875e+00 7.847274780479715162e+00 7.871941132321032875e+00 8.627507954589360040e+00 8.681421168153484302e+00
3.955558905665323283e-02 4.936931456844280697e-01 9.194572718730026351e-01 1.463964857440345879e+00 1.502887248095660988e+00 2.055062284425291264e+00 3.168776797263868517e+00 6.171724537381341413e+00 6.213313596359248514e+00 7.838617513456117791e+00 7.865548473419537778e+00 8.617761391683034233e+00 8.676032747139009516e+00
4.096828866581941203e-02 5.187841099856193017e-01 9.508933215489380197e-01 1.481439370104533415e+00 1.548422768535987926e+00 2.099912858675199612e+00 3.170569464418010242e+00 6.163555605868840104e+00 6.207474961909218436e+00 7.829632622819791443e+00 7.858968614251302220e+00 8.607661109753607320e+00 8.670490531232584175e+00
4.238098827498559817e-02 5.440602800901109815e-01 9.821756705927636721e-01 1.499185176693085708e+00 1.592874431756431619e+00 2.144812808163524043e+00 3.173003577627582228e+00 6.155263872513496715e+00 6.201522355182130575e+00 7.820319132643149374e+00 7.852206443528055857e+00 8.597207503045144250e+00 8.664799002654810067e+00
4.379368788415178432e-02 5.695162775866493554e-01 1.013297973085065751e+00 1.517179527516732351e+00 1.636163714168658467e+00 2.189707295530788578e+00 3.176153774887604975e+00 6.146868235855372120e+00 6.195465344903176685e+00 7.810676098706318626e+00 7.845267026890903495e+00 8.586401036785973773e+00 8.658962793400849733e+00
4.520638749331797046e-02 5.951475262748727735e-01 1.044253780799599074e+00 1.535400141795384865e+00 1.678208837810804877e+00 2.234543351263840183e+00 3.180098101464043925e+00 6.138388565248542150e+00 6.189313862432896052e+00 7.800702614589956063e+00 7.838155607065821151e+00 8.575242253514712587e+00 8.652986684064790879e+00
