# frequency_THz total_states_per_THz_per_atom Ga_contribution Se_contribution
-9.999999999999964473e-02 4.262410199725294793e-03 1.995656349779812919e-03 2.266753849945483609e-03
-7.999999999999962697e-02 5.804304988172585139e-03 2.717274462244650968e-03 3.087030525927930268e-03
-5.999999999999960920e-02 7.678050255346865680e-03 3.594033697070227878e-03 4.084016558276640403e-03
-3.999999999999959144e-02 9.878894126146895924e-03 4.623618808521019578e-03 5.255275317625881550e-03
-1.999999999999957367e-02 1.238039907432175735e-02 5.793550775668695682e-03 6.586848298653059930e-03
4.440892098500626162e-16 1.513580105252253748e-02 7.081828869883943604e-03 8.053972182638598210e-03
2.000000000000046185e-02 1.808251236163226777e-02 8.459045473067807255e-03 9.623466888564465721e-03
4.000000000000047962e-02 2.114907740298212213e-02 9.891649025361512124e-03 1.125742837762062215e-02
6.000000000000049738e-02 2.426332604186826752e-02 1.134576622319429309e-02 1.291755981867397790e-02
8.000000000000051514e-02 2.736022556436271125e-02 1.279088077187238298e-02 1.456934479249032653e-02
1.000000000000005329e-01 3.038807948383795768e-02 1.420273547891037422e-02 1.618534400492759040e-02
1.200000000000005507e-01 3.331219692433600582e-02 1.556504768163898683e-02 1.774714924269703287e-02
1.400000000000005684e-01 3.611578829672776325e-02 1.686992437460924782e-02 1.924586392211852584e-02
1.600000000000005862e-01 3.879842068683178602e-02 1.811713410433039156e-02 2.068128658250140486e-02
1.800000000000006040e-01 4.137272586081258696e-02 1.931256093861573320e-02 2.206016492219685377e-02
2.000000000000006217e-01 4.386014169917164252e-02 2.046620668295150158e-02 2.339393501622016175e-02
2.200000000000006395e-01 4.628635216235091332e-02 2.159005298102797607e-02 2.469629918132294072e-02
2.400000000000006573e-01 4.867691201465135925e-02 2.269601092169414025e-02 2.598090109295724676e-02
2.600000000000006750e-01 5.105342873591246083e-02 2.379413242281311347e-02 2.725929631309936818e-02
2.800000000000006928e-01 5.343066628162817383e-02 2.489125412875228122e-02 2.853941215287589261e-02
3.000000000000007105e-01 5.581496584733232347e-02 2.599025899200847062e-02 2.982470685532386673e-02
3.200000000000007283e-01 5.820431955811595365e-02 2.709011302311317010e-02 3.111420653500280090e-02
3.400000000000007461e-01 6.059018856696157806e-02 2.818672008140028079e-02 3.240346848556129034e-02
3.600000000000007638e-01 6.296074478147969944e-02 2.927444419573225695e-02 3.368630058574745983e-02
3.800000000000007816e-01 6.530477899178331602e-02 3.034794414577831473e-02 3.495683484600501517e-02
4.000000000000007994e-01 6.761525840588708536e-02 3.140384314374025654e-02 3.621141526214686351e-02
4.200000000000008171e-01 6.989157807612128570e-02 3.244178527063588946e-02 3.744979280548535461e-02
4.400000000000008349e-01 7.213993416661171332e-02 3.346461021747558495e-02 3.867532394913613530e-02
4.600000000000008527e-01 7.437180478869946654e-02 3.447763960609892542e-02 3.989416518260055500e-02
4.800000000000008704e-01 7.660104180389548656e-02 3.548731113706811435e-02 4.111373066682734445e-02
5.000000000000008882e-01 7.884038735893737770e-02 3.649954256840737266e-02 4.234084479053001893e-02
5.200000000000009059e-01 8.109828411213645949e-02 3.751823356342642857e-02 4.358005054871005868e-02
