# frequency_THz total_states_per_THz_per_atom Ga_contribution Se_contribution
5.240000000000005542e+00 9.540317533564993255e-12 5.831751576391479113e-12 3.708565957173516566e-12
5.260000000000005116e+00 4.489336384634412773e-12 2.575014972464861054e-12 1.914321412169552930e-12
5.280000000000004690e+00 9.354928740956438088e-12 4.991327181643677071e-12 4.363601559312761018e-12
5.300000000000005151e+00 3.442476833446537724e-11 1.821014535658563323e-11 1.621462297787971816e-11
5.320000000000005613e+00 1.288420955269431748e-10 6.818911890689527855e-11 6.065297662004787040e-11
5.340000000000005187e+00 4.654473457865495960e-10 2.466319580579057044e-10 2.188153877286439174e-10
5.360000000000004761e+00 1.617705652302130136e-09 8.583642113173652164e-10 7.593414409847661603e-10
5.380000000000005222e+00 5.408654370102470471e-09 2.874197701244600715e-09 2.534456668857870583e-09
5.400000000000005684e+00 1.739681618094273262e-08 9.260161997304690102e-09 8.136654183638047484e-09
5.420000000000005258e+00 5.383678886303562923e-08 2.870916212417646726e-08 2.512762673885914874e-08
5.440000000000004832e+00 1.603093349530446829e-07 8.565823185536382332e-08 7.465110309768080659e-08
5.460000000000005294e+00 4.593604706085952004e-07 2.459882838929189055e-07 2.133721867156762949e-07
5.480000000000005755e+00 1.266811605521359736e-06 6.800018229500051473e-07 5.868097825713538472e-07
5.500000000000005329e+00 3.362686426896061440e-06 1.809728148367989068e-06 1.552958278528069407e-06
5.520000000000004903e+00 8.592767622870109293e-06 4.637514478263754484e-06 3.955253144606358197e-06
5.540000000000005365e+00 2.114038765686668430e-05 1.144434267566030259e-05 9.696044981206385094e-06
5.560000000000005826e+00 5.008313627002690730e-05 2.720188746588575858e-05 2.288124880414116227e-05
5.580000000000005400e+00 1.142718570136578931e-04 6.228492165252498504e-05 5.198693536113281318e-05
5.600000000000004974e+00 2.511493783699077697e-04 1.374104643345500044e-04 1.137389140353579008e-04
5.620000000000005436e+00 5.318039848936947749e-04 2.921402158873585321e-04 2.396637690063361343e-04
5.640000000000005898e+00 1.085139397637244034e-03 5.986647691238933169e-04 4.864746285133519097e-04
5.660000000000005471e+00 2.134167473468819021e-03 1.182735873228365131e-03 9.514316002404554079e-04
5.680000000000005045e+00 4.046527045126398561e-03 2.253198731708126908e-03 1.793328313418274039e-03
5.700000000000005507e+00 7.398736642050885055e-03 4.140190572527921962e-03 3.258546069522963093e-03
5.720000000000005969e+00 1.304888118447163937e-02 7.339354119429921872e-03 5.709527065041712299e-03
5.740000000000005542e+00 2.220544493597972208e-02 1.255528547367332909e-02 9.650159462306389518e-03
5.760000000000005116e+00 3.647188067871608846e-02 2.073238667837754706e-02 1.573949400033860385e-02
5.780000000000005578e+00 5.783960633719281708e-02 3.305661571788134911e-02 2.478299061931146796e-02
5.800000000000006040e+00 8.859994655586955759e-02 5.090939960831439293e-02 3.769054694755524099e-02
5.820000000000005613e+00 1.311518495623161251e-01 7.575763258287768198e-02 5.539421697943856804e-02
5.840000000000005187e+00 1.876994447257561704e-01 1.089731052060465555e-01 7.872633951970969823e-02
5.860000000000005649e+00 2.598609187792963460e-01 1.515910540455434885e-01 1.082698647337531489e-01
5.880000000000006111e+00 3.482425743332981938e-01 2.040382150168590369e-01 1.442043593164393234e-01
5.900000000000005684e+00 4.520598921161165795e-01 2.658803390363512764e-01 1.861795530797654141e-01
5.920000000000005258e+00 5.688997253382178654e-01 3.356503485374027207e-01 2.332493768008154778e-01
5.940000000000005720e+00 6.947055036935738670e-01 4.108145889698115449e-01 2.838909147237622110e-01
5.960000000000006182e+00 8.240283848585692184e-01 4.879130126061274608e-01 3.361153722524414800e-01
5.980000000000005755e+00 9.505289803237489954e-01 5.628725898723574428e-01 3.876563904513919967e-01
6.000000000000005329e+00 1.067652451005252967e+00 6.314508875809252686e-01 4.362015634243280870e-01
6.020000000000005791e+00 1.169353907025317385e+00 6.897313955119998008e-01 4.796225115133174177e-01
6.040000000000006253e+00 1.250736988879566081e+00 7.345758185375969029e-01 5.161611703419695107e-01
6.060000000000005826e+00 1.308491816844668865e+00 7.639475499384383861e-01 5.445442669062303676e-01
6.080000000000005400e+00 1.341071709321504324e+00 7.770527389940172780e-01 5.640189703274880451e-01
6.100000000000005862e+00 1.348613373383398262e+00 7.742905684541090405e-01 5.743228049292897763e-01
6.120000000000006324e+00 1.332661568994187196e+00 7.570481930168748708e-01 5.756133759773131020e-01
6.140000000000005898e+00 1.295790421871062748e+00 7.274052209219743492e-01 5.683852009490881763e-01
6.160000000000005471e+00 1.241214103464674423e+00 6.878206368361393652e-01 5.533934666285347248e-01
6.180000000000005933e+00 1.172455297990927070e+00 6.408625633187081672e-01 5.315927346722189029e-01
6.200000000000006395e+00 1.093103762553240488e+00 5.890155985905149993e-01 5.040881639627267097e-01
6.220000000000005969e+00 1.006663323945060640e+00 5.345717728323539086e-01 4.720915511127071196e-01
6.240000000000005542e+00 9.164634107701230548e-01 4.795883145963024674e-01 4.368750961738205874e-01
6.260000000000006004e+00 8.256036289020387553e-01 4.258834318675912556e-01 3.997201970344472777e-01
6.280000000000006466e+00 7.369043264521341063e-01 3.750407904329250419e-01 3.618635360192086758e-01
6.300000000000006040e+00 6.528472750556949533e-01 3.284015950798307437e-01 3.244456799758644316e-01
6.320000000000005613e+00 5.755033779793041759e-01 2.870358637000558488e-01 2.884675142792483271e-01
6.340000000000006075e+00 5.064551864558692884e-01 2.516973248188348888e-01 2.547578616370343996e-01
6.360000000000006537e+00 4.467291356988225548e-01 2.227759710765697398e-01 2.239531646222531203e-01
6.380000000000006111e+00 3.967550420315157367e-01 2.002665882841873635e-01 1.964884537473285953e-01
6.400000000000005684e+00 3.563683535428929794e-01 1.837699184234118377e-01 1.725984351194810862e-01
6.420000000000006146e+00 3.248643048922374432e-01 1.725362985118001347e-01 1.523280063804373086e-01
6.440000000000006608e+00 3.011036969788558060e-01 1.655516699517952384e-01 1.355520270270607064e-01
6.460000000000006182e+00 2.836596078246839681e-01 1.616555623557656696e-01 1.220040454689183679e-01
6.480000000000005755e+00 2.709855689281784330e-01 1.596728456560241871e-01 1.113127232721543708e-01
6.500000000000006217e+00 2.615809970063264212e-01 1.585377745518003478e-01 1.030432224545260178e-01
6.520000000000006679e+00 2.541302889548285870e-01 1.573908252268111652e-01 9.673946372801750515e-02
6.540000000000006253e+00 2.475977796916777052e-01 1.556352426805042433e-01 9.196253701117342028e-02
6.560000000000005826e+00 2.412700906785225363e-01 1.529491042683347457e-01 8.832098641018804042e-02
6.580000000000006288e+00 2.347477437503546205e-01 1.492576026931630717e-01 8.549014105719149326e-02
6.600000000000006750e+00 2.278967008879223544e-01 1.446769853060389521e-01 8.321971558188337448e-02
6.620000000000006324e+00 2.207758306649125479e-01 1.394448512688848396e-01 8.133097939602745852e-02
6.640000000000005898e+00 2.135574565540621639e-01 1.338511056407423738e-01 7.970635091331985944e-02
6.660000000000006359e+00 2.064555593352147833e-01 1.281805765849324819e-01 7.827498275028232921e-02
6.680000000000006821e+00 1.996712042800674325e-01 1.226734758403433823e-01 7.699772843972402248e-02
6.700000000000006395e+00 1.933590122330469674e-01 1.175049742092567628e-01 7.585403802379031557e-02
6.720000000000005969e+00 1.876134836059433209e-01 1.127813058359767723e-01 7.483217776996645143e-02
6.740000000000006430e+00 1.824706617244347129e-01 1.085475942284336581e-01 7.392306749600102700e-02
6.760000000000006892e+00 1.779192616406667371e-01 1.048020333914737590e-01 7.311722824919289487e-02
6.780000000000006466e+00 1.739156984913846071e-01 1.015117691438167657e-01 7.240392934756789689e-02
6.800000000000006040e+00 1.703988066340183516e-01 9.862723069255091568e-02 7.177157594146757469e-02
6.820000000000006501e+00 1.673017728384691427e-01 9.609320785122554831e-02 7.120856498724362216e-02
6.840000000000006963e+00 1.645603875269860683e-01 9.385626591622084347e-02 7.070412161076522484e-02
6.860000000000006537e+00 1.621178629250076275e-01 9.186895953675414117e-02 7.024890338825350022e-02
6.880000000000006111e+00 1.599271251443138142e-01 9.009175202176168684e-02 6.983537312255205798e-02
6.900000000000006573e+00 1.579517704469376171e-01 8.849368405015287098e-02 6.945808639678491270e-02
6.920000000000007034e+00 1.561669685924837736e-01 8.705282230730063131e-02 6.911414628518328107e-02
6.940000000000006608e+00 1.545616764464365078e-01 8.575749280070743552e-02 6.880418364572921108e-02
6.960000000000006182e+00 1.531437081781080178e-01 8.460934909153294825e-02 6.853435908657516673e-02
6.980000000000006644e+00 1.519495070903349176e-01 8.362944929764200286e-02 6.832005779269278989e-02
7.000000000000007105e+00 1.510607566773731203e-01 8.286863378465955665e-02 6.819212289271361915e-02
7.020000000000006679e+00 1.506299744268248531e-01 8.242342651716427770e-02 6.820654790966063086e-02
7.040000000000006253e+00 1.509165148431489689e-01 8.245815892752514364e-02 6.845835591562374201e-02
7.060000000000006715e+00 1.523324468496145279e-01 8.323273333656722173e-02 6.909971351304738940e-02
7.080000000000007176e+00 1.554941423302423631e-01 8.513318336447608936e-02 7.036095896576649578e-02
7.100000000000006750e+00 1.612701018284214416e-01 8.869899690427671124e-02 7.257110492414484137e-02
7.120000000000006324e+00 1.708093135167235155e-01 9.463755980827712189e-02 7.617175370844635196e-02
7.140000000000006786e+00 1.855291006212927973e-01 1.038131713497629088e-01 8.171592927152976360e-02
7.160000000000007248e+00 2.070397310432937621e-01 1.171975041692202013e-01 8.984222687407364405e-02
7.180000000000006821e+00 2.369881202779438867e-01 1.357718587396282706e-01 1.012162615383155745e-01
7.200000000000006395e+00 2.768168820609082093e-01 1.603801815342263959e-01 1.164367005266818966e-01
7.220000000000006857e+00 3.274573817659915398e-01 1.915451518311850621e-01 1.359122299348064500e-01
7.240000000000007319e+00 3.890022285360770216e-01 2.292751442078722612e-01 1.597270843282049546e-01
7.260000000000006892e+00 4.604260205833755615e-01 2.729029688100270135e-01 1.875230517733487146e-01
7.280000000000006466e+00 5.394334862917316009e-01 3.210024908244444863e-01 2.184309954672874754e-01
7.300000000000006928e+00 6.225033929150041168e-01 3.714221151830562895e-01 2.510812777319482159e-01
7.320000000000007390e+00 7.051622522990049768e-01 4.214535478620846654e-01 2.837087044369208111e-01
7.340000000000006963e+00 7.824697130554087998e-01 4.681237570247478996e-01 3.143459560306609002e-01
7.360000000000006537e+00 8.496412739262422242e-01 5.085656053083278394e-01 3.410756686179146069e-01
7.380000000000006999e+00 9.026912478340970436e-01 5.403982905577155993e-01 3.622929572763812223e-01
7.400000000000007461e+00 9.389650135198192027e-01 5.620411314896818222e-01 3.769238820301371584e-01
7.420000000000007034e+00 9.574511257893254523e-01 5.728970296352267066e-01 3.845540961540983016e-01
7.440000000000006608e+00 9.588155551721746495e-01 5.733720560217459017e-01 3.854434991504289698e-01
7.460000000000007070e+00 9.451665554648520651e-01 5.647360956542885058e-01 3.804304598105641699e-01
7.480000000000007532e+00 9.196191572904620637e-01 5.488647368107864022e-01 3.707544204796753284e-01
7.500000000000007105e+00 8.857657121069775208e-01 5.279246221630005120e-01 3.578410899439771198e-01
7.520000000000006679e+00 8.471648441865421431e-01 5.040683281949115413e-01 3.430965159916312124e-01
7.540000000000006253e+00 8.069381767115015869e-01 4.791918236260973574e-01 3.277463530854041740e-01
7.560000000000007603e+00 7.675234856630328562e-01 4.547840025747609261e-01 3.127394830882720966e-01
7.580000000000007176e+00 7.305891077864832273e-01 4.318720975666886508e-01 2.987170102197947430e-01
7.600000000000006750e+00 6.970799515929355650e-01 4.110462553330804791e-01 2.860336962598553634e-01
7.620000000000008100e+00 6.673470483788830343e-01 3.925352762899019243e-01 2.748117720889818871e-01
7.640000000000007674e+00 6.413104982578810009e-01 3.763038217125094231e-01 2.650066765453716888e-01
7.660000000000007248e+00 6.186154762507407590e-01 3.621468303361242702e-01 2.564686459146164332e-01
7.680000000000006821e+00 5.987563833909951283e-01 3.497658318010619660e-01 2.489905515899332733e-01
7.700000000000006395e+00 5.811596951057234062e-01 3.388209978395054778e-01 2.423386972662182337e-01
7.720000000000007745e+00 5.652281439078895575e-01 3.289600291742631466e-01 2.362681147336265775e-01
7.740000000000007319e+00 5.503564160548721773e-01 3.198295633795384951e-01 2.305268526753336267e-01
7.760000000000006892e+00 5.359319340688835087e-01 3.110768830713365185e-01 2.248550509975471567e-01
7.780000000000008242e+00 5.213345167834368965e-01 3.023498798715030800e-01 2.189846369119339831e-01
7.800000000000007816e+00 5.059466070561000617e-01 2.933020320081284327e-01 2.126445750479715735e-01
7.820000000000007390e+00 4.891818311287120524e-01 2.836069340567763941e-01 2.055748970719355750e-01
7.840000000000006963e+00 4.705342569034609568e-01 2.729839263227460400e-01 1.975503305807150556e-01
7.860000000000006537e+00 4.496444702545522309e-01 2.612329688736199085e-01 1.884115013809323225e-01
7.880000000000007887e+00 4.263726570848818676e-01 2.482737171688428057e-01 1.780989399160390341e-01
7.900000000000007461e+00 4.008648870295967170e-01 2.341816309087849934e-01 1.666832561208119179e-01
7.920000000000007034e+00 3.735982827505339721e-01 2.192136747208396075e-01 1.543846080296945311e-01
7.940000000000008384e+00 3.453943944245106423e-01 2.038180618988713055e-01 1.415763325256393090e-01
7.960000000000007958e+00 3.173970339904562676e-01 1.886260496083573268e-01 1.287709843820989408e-01
7.980000000000007532e+00 2.910186325369888416e-01 1.744276798613323964e-01 1.165909526756563064e-01
8.000000000000007105e+00 2.678646205206179909e-01 1.621358301751410491e-01 1.057287903454769695e-01
8.020000000000006679e+00 2.496457437589372497e-01 1.527426239713008393e-01 9.690311978763635481e-02
8.040000000000008029e+00 2.380830729584086924e-01 1.472689976652543919e-01 9.081407529315445315e-02
8.060000000000007603e+00 2.348021258399816402e-01 1.467035292911191835e-01 8.809859654886245672e-02
8.080000000000007176e+00 2.412058318218235908e-01 1.519233577208720098e-01 8.928247410095127568e-02
8.100000000000008527e+00 2.583164174983008099e-01 1.635912588741066931e-01 9.472515862419403354e-02
8.120000000000008100e+00 2.865869116659031102e-01 1.820304455162341239e-01 1.045564661496689030e-01
8.140000000000007674e+00 3.257025898703850841e-01 2.070914409041315074e-01 1.186111489662534935e-01
8.160000000000007248e+00 3.744148129768863908e-01 2.380393300294761372e-01 1.363754829474102259e-01
8.180000000000006821e+00 4.304643774694738578e-01 2.734986247054247421e-01 1.569657527640490602e-01
8.200000000000008171e+00 4.906490971788307620e-01 3.114910052623597325e-01 1.791580919164711405e-01
8.220000000000007745e+00 5.510663206226379396e-01 3.495855940732273681e-01 2.014807265494110156e-01
8.240000000000007319e+00 6.075191820012599830e-01 3.851546096299283684e-01 2.223645723713319755e-01
8.260000000000008669e+00 6.560275802778464671e-01 4.156968313989026775e-01 2.403307488789447333e-01
8.280000000000008242e+00 6.933475920720750807e-01 4.391676159225994525e-01 2.541799761494756837e-01
8.300000000000007816e+00 7.173906961789762171e-01 4.542463423082117036e-01 2.631443538707647356e-01
8.320000000000007390e+00 7.274531193872233459e-01 4.604841037114775770e-01 2.669690156757459354e-01
8.340000000000006963e+00 7.242109018680479293e-01 4.583031146395109556e-01 2.659077872285371402e-01
8.360000000000008313e+00 7.094934667823277197e-01 4.488555464104234671e-01 2.606379203719040305e-01
8.380000000000007887e+00 6.858992343616371334e-01 4.337817435647790543e-01 2.521174907968577461e-01
8.400000000000007461e+00 6.563460694381874072e-01 4.149264502928540210e-01 2.414196191453339413e-01
8.420000000000008811e+00 6.236506261670151652e-01 3.940726518234962672e-01 2.295779743435193421e-01
8.440000000000008384e+00 5.902075164966587018e-01 3.727381190640976505e-01 2.174693974325606904e-01
8.460000000000007958e+00 5.578025959909710396e-01 3.520566145580473205e-01 2.057459814329239411e-01
8.480000000000007532e+00 5.275577340798641712e-01 3.327423265616858972e-01 1.948154075181783296e-01
8.500000000000007105e+00 4.999777230443234743e-01 3.151191163294461139e-01 1.848586067148774714e-01
8.520000000000008455e+00 4.750583630510794575e-01 2.991887134410721183e-01 1.758696496100076723e-01
8.540000000000008029e+00 4.524172715065066797e-01 2.847134928942448018e-01 1.677037786122618224e-01
8.560000000000007603e+00 4.314206387594833880e-01 2.712967932158509843e-01 1.601238455436323482e-01
8.580000000000008953e+00 4.112936766432646052e-01 2.584529001527671732e-01 1.528407764904974320e-01
8.600000000000008527e+00 3.912144981150075251e-01 2.456664178068742876e-01 1.455480803081331265e-01
8.620000000000008100e+00 3.703974655290374063e-01 2.324447732157401969e-01 1.379526923132972649e-01
8.640000000000007674e+00 3.481720130010843572e-01 2.183676389778916871e-01 1.298043740231930310e-01
8.660000000000007248e+00 3.240580704674594914e-01 2.031340406739743920e-01 1.209240297934848773e-01
8.680000000000008598e+00 2.978323366964689134e-01 1.866036259591711821e-01 1.112287107372978701e-01
8.700000000000008171e+00 2.695740314901831636e-01 1.688250593536709809e-01 1.007489721365123492e-01
8.720000000000007745e+00 2.396771118905550724e-01 1.500434688083719381e-01 8.963364308218313425e-02
8.740000000000009095e+00 2.088195511589265585e-01 1.306811142426257399e-01 7.813843691630084631e-02
8.760000000000008669e+00 1.778885225980620655e-01 1.112905817196018776e-01 6.659794087846038213e-02
8.780000000000008242e+00 1.478707692924380868e-01 9.248631035624842178e-02 5.538445893618961641e-02
8.800000000000007816e+00 1.197266352470033185e-01 7.486598532279750695e-02 4.486064992420588093e-02
8.820000000000007390e+00 9.427098898040794928e-02 5.893628692121453960e-02 3.533470205919340967e-02
8.840000000000008740e+00 7.208286313441134019e-02 4.505659847149590114e-02 2.702626466291543211e-02
8.860000000000008313e+00 5.345847447340257991e-02 3.340980304079101126e-02 2.004867143261162415e-02
8.880000000000007887e+00 3.841173069657467104e-02 2.400271016085468029e-02 1.440902053571995259e-02
8.900000000000009237e+00 2.671570864605616463e-02 1.669202932581353993e-02 1.002367932024264378e-02
8.920000000000008811e+00 1.797093984429787294e-02 1.122704097975456804e-02 6.743898864543328327e-03
8.940000000000008384e+00 1.168336740253375985e-02 7.298268882080998637e-03 4.385098520452754278e-03
8.960000000000007958e+00 7.336521860460381260e-03 4.582514895317697790e-03 2.754006965142688675e-03
8.980000000000007532e+00 4.447372725085466279e-03 2.777684924517145881e-03 1.669687800568322783e-03
9.000000000000008882e+00 2.601379837144297911e-03 1.624622405551871211e-03 9.767574315924271340e-04
9.020000000000008455e+00 1.467615182302161019e-03 9.165012784821686530e-04 5.511139038199914988e-04
9.040000000000008029e+00 7.983107042905490495e-04 4.985028725943258486e-04 2.998078316962232009e-04
9.060000000000009379e+00 4.185477635986992076e-04 2.613472139560076859e-04 1.572005496426916301e-04
9.080000000000008953e+00 2.114509477368549406e-04 1.320266640396405887e-04 7.942428369721432472e-05
9.100000000000008527e+00 1.029101047540936803e-04 6.425264219565741811e-05 3.865746255843628926e-05
9.120000000000008100e+00 4.823858282228508400e-05 3.011688545248351496e-05 1.812169736980157243e-05
9.140000000000007674e+00 2.177379210572695699e-05 1.359357057792946795e-05 8.180221527797489035e-06
9.160000000000009024e+00 9.462385336361713123e-06 5.907249591492342094e-06 3.555135744869372723e-06
9.180000000000008598e+00 3.958459386905308113e-06 2.471139298133403433e-06 1.487320088771905739e-06
9.200000000000008171e+00 1.593858279296038502e-06 9.949656533503423849e-07 5.988926259456964345e-07
9.220000000000009521e+00 6.176126683695588069e-07 3.855341405586968652e-07 2.320785278108623388e-07
9.240000000000009095e+00 2.302905242117530233e-07 1.437513047268272382e-07 8.653921948492579837e-08
9.260000000000008669e+00 8.261985675229654900e-08 5.157152630160581536e-08 3.104833045069073364e-08
9.280000000000008242e+00 2.851678687032199684e-08 1.779986173880946923e-08 1.071692513151254581e-08
9.300000000000007816e+00 9.468637806243411003e-09 5.910097498188884865e-09 3.558540308054533996e-09
9.320000000000009166e+00 3.024206482838432922e-09 1.887601175403871697e-09 1.136605307434563707e-09
9.340000000000008740e+00 9.290553225428855853e-10 5.798725360830553961e-10 3.491827864598306028e-10
9.360000000000008313e+00 2.745046437704885554e-10 1.713299507222406558e-10 1.031746930482480418e-10
9.380000000000009663e+00 7.800275031387436825e-11 4.868403496085179350e-11 2.931871535302256182e-11
9.400000000000009237e+00 2.131564321399310672e-11 1.330358041132918924e-11 8.012062802663933641e-12
9.420000000000008811e+00 5.601358388995725667e-12 3.495886021424837432e-12 2.105472367570893486e-12
9.440000000000008384e+00 1.415384547473966280e-12 8.833493485993367406e-13 5.320351988746295399e-13
9.460000000000007958e+00 3.438927471282066116e-13 2.146226269301154926e-13 1.292701201980911442e-13
9.480000000000009308e+00 8.033813585544273740e-14 5.013822684224574066e-14 3.019990901319699043e-14
9.500000000000008882e+00 1.804490478148447386e-14 1.126151474648244495e-14 6.783390035002027335e-15
